cell_line,patient_id,histotype_code,rna_passage,wes_passage,tmt_plex,gene,ensembl_gene_id,panel_group,arm,segment_gene_covered_fraction,gene_segment_log2,gene_segment_min_log2,gene_segment_max_log2,n_segments_overlapping_gene,target_bins,positive_target_bins,zero_depth_target_bins,target_overlap_bp,target_bin_median_log2,target_bin_min_log2,target_bin_max_log2,target_bin_iqr_log2,gene_target_length_weighted_mean_depth,arm_median_log2,segment_minus_arm_log2,target_median_minus_arm_log2,segment_minus_target_median_log2,relative_screen_eligible,supported_relative_gain_screen,supported_relative_loss_screen,segment_bin_disagreement_flag,target_only_extreme_flag,zero_depth_followup_flag,status,rna_tpm,protein_log2_normalised,protein_isodoping,rna_tpm_rank_desc,rna_tpm_n_models,protein_log2_normalised_rank_desc,protein_log2_normalised_n_models,wes_measured
OV3133-R,3133,HGS,p64,P71,1.0,FGFR1,ENSG00000077782,oncogene_gain_screen,8p,1.0,-1.5742825829713722,-1.5742825829713722,-1.5742825829713722,1.0,25.0,25.0,0.0,4562.0,-1.211042582971372,-2.771452582971372,1.8760374170286278,1.15503,26.1872012187637,-0.6515665829713723,-0.922716,-0.5594759999999998,-0.36324000000000023,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",1.81900485,8.97003739951639,False,31.0,31.0,12.0,19.0,True
OV3133-R,3133,HGS,p64,P71,1.0,MECOM,ENSG00000085276,oncogene_gain_screen,3q,1.0,1.6546874170286276,1.6546874170286276,1.6546874170286276,1.0,30.0,30.0,0.0,7323.0,1.7081474170286277,0.9944054170286278,2.9000974170286278,0.6237525000000002,310.33104683270165,0.5459744170286277,1.1087129999999998,1.1621730000000001,-0.05346000000000006,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",9.7203982,11.80141565606093,False,13.0,31.0,7.0,31.0,True
OV3133-R2,3133,HGS,NA,P58,NA,CCND1,ENSG00000110092,oncogene_gain_screen,11q,1.0,1.668100296101695,1.6681002961016949,1.6681002961016949,1.0,3.0,3.0,0.0,692.0,2.1515902961016953,0.8841102961016949,2.323420296101695,0.7196550000000002,129.61990606936416,-0.0730412038983051,1.7411415000000001,2.2246315000000005,-0.4834900000000002,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
OV3133-R2,3133,HGS,NA,P58,NA,MYC,ENSG00000136997,oncogene_gain_screen,8q,1.0,1.186030296101695,1.1860302961016949,1.1860302961016949,1.0,7.0,7.0,0.0,1587.0,1.5355402961016948,0.8337752961016949,3.192830296101695,0.6411450000000001,150.2885822620519,0.4335252961016949,0.7525050000000002,1.102015,-0.34950999999999977,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,NA,NA,31.0,NA,0.0,True
OV3133-R2,3133,HGS,NA,P58,NA,PIK3CA,ENSG00000121879,oncogene_gain_screen,3q,1.0,1.036270296101695,1.036270296101695,1.036270296101695,1.0,21.0,21.0,0.0,5191.0,1.0128902961016948,0.4750722961016949,1.910420296101695,0.747747,252.70932293858812,0.9080982961016948,0.12817200000000017,0.104792,0.02338000000000018,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
OV3133-R2,3133,HGS,NA,P58,NA,PRKCI,ENSG00000163558,oncogene_gain_screen,3q,1.0,1.036270296101695,1.036270296101695,1.036270296101695,1.0,16.0,16.0,0.0,3436.0,1.0449202961016948,0.2068022961016949,2.098260296101695,0.5916887500000001,225.04133032596044,0.9080982961016948,0.12817200000000017,0.136822,-0.008649999999999824,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
OV3133-R2,3133,HGS,NA,P58,NA,MECOM,ENSG00000085276,oncogene_gain_screen,3q,1.0,1.921690296101695,1.9216902961016948,1.9216902961016948,1.0,30.0,30.0,0.0,7323.0,1.940660296101695,1.2359202961016948,3.358240296101695,0.5828775000000002,394.0667644829453,0.9080982961016948,1.0135920000000003,1.0325620000000002,-0.01896999999999993,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
OV3291,3291,HGS,NA,P46,NA,CCNE1,ENSG00000105173,oncogene_gain_screen,19q,1.0,1.2406075040013012,1.2406075040013012,1.2406075040013012,1.0,7.0,7.0,0.0,1494.0,1.5602475040013013,1.1418975040013013,1.7425375040013014,0.3072050000000002,228.04940562248996,-0.1199821959986987,1.3605896999999998,1.6802297,-0.31964000000000015,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
OV3291,3291,HGS,NA,P46,NA,CDK6,ENSG00000105810,oncogene_gain_screen,7q,1.0,1.1182575040013012,1.1182575040013012,1.1182575040013012,1.0,16.0,16.0,0.0,2700.0,1.1243875040013012,0.6925365040013012,2.324877504001301,0.5165035000000001,140.28478796296295,0.5412445040013013,0.5770129999999999,0.5831429999999999,-0.006129999999999969,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
OV3291,3291,HGS,NA,P46,NA,MYCN,ENSG00000134323,oncogene_gain_screen,2p,1.0,1.1350675040013012,1.1350675040013012,1.1350675040013012,1.0,4.0,4.0,0.0,973.0,1.2473825040013011,0.47059450400130115,3.5174975040013012,0.8500532500000002,102.32242876984128,0.3516465040013012,0.7834209999999999,0.8957359999999999,-0.11231499999999994,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,NA,NA,31.0,NA,0.0,True
OV3291,3291,HGS,NA,P46,NA,CHEK2,ENSG00000183765,other_locus_screen,22q,1.0,1.2738275040013012,1.2738275040013012,1.2738275040013012,1.0,15.0,15.0,0.0,2823.0,1.4904175040013012,0.4257325040013012,2.809697504001301,0.6713,227.89239992915333,0.0106840040013012,1.2631435,1.4797335,-0.21659000000000006,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
TOV1369,1369,HGS,p65,P65,2.0,KRAS,ENSG00000133703,oncogene_gain_screen,12p,1.0,1.3198326103448277,1.3198326103448277,1.3198326103448277,1.0,10.0,10.0,0.0,1977.0,1.8118476103448276,0.6920266103448274,2.244342610344827,0.7385774999999997,307.27936317653007,1.1304426103448275,0.18939000000000017,0.681405,-0.49201499999999987,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",2.3180715999999997,10.69031242094376,False,23.0,31.0,18.0,31.0,True
TOV1369,1369,HGS,p65,P65,2.0,SMARCA2,ENSG00000080503,other_locus_screen,9p,1.0,-1.5465173896551725,-1.5465173896551725,-1.5465173896551725,1.0,36.0,36.0,0.0,6833.0,-1.5922323896551724,-3.207947389655173,0.17036661034482747,0.9012600000000002,31.007759107273525,-1.5465173896551725,0.0,-0.04571499999999995,0.04571499999999995,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",5.26691460450787,12.09587129974764,False,20.0,31.0,9.0,31.0,True
TOV2295-R,2295,HGS,NA,P57,NA,MYC,ENSG00000136997,oncogene_gain_screen,8q,1.0,1.0864229949345716,1.0864229949345716,1.0864229949345716,1.0,7.0,7.0,0.0,1587.0,1.5224829949345715,1.0047629949345716,3.5669329949345716,0.6655800000000001,152.62917045735477,0.6642859949345715,0.4221370000000001,0.858197,-0.4360599999999999,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,NA,NA,31.0,NA,0.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,MYC,ENSG00000136997,oncogene_gain_screen,8q,1.0,1.7557778358608385,1.7557778358608385,1.7557778358608385,1.0,7.0,7.0,0.0,1587.0,2.1315378358608386,1.2267578358608384,3.8467878358608383,0.7215800000000001,229.46187515451172,1.1783178358608384,0.5774600000000001,0.9532200000000002,-0.3757600000000001,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,NA,NA,31.0,NA,0.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,KRAS,ENSG00000133703,oncogene_gain_screen,12p,1.0,1.2393178358608383,1.2393178358608383,1.2393178358608383,1.0,10.0,10.0,0.0,1977.0,1.6038878358608384,0.4250858358608386,1.9697678358608384,0.5995024999999998,295.65695447647954,1.2393178358608383,0.0,0.36457000000000006,-0.36457000000000006,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,NF1,ENSG00000196712,other_locus_screen,17q,1.0,-7.104882164139162,-7.104882164139162,-7.104882164139162,1.0,87.0,21.0,66.0,18291.0,-7.553802164139162,-14.575872164139161,0.6920048358608385,1.4873699999999985,6.884642455161554,-0.4375851641391615,-6.6672970000000005,-7.116217000000001,0.4489200000000002,True,False,True,False,False,True,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,RB1,ENSG00000139687,other_locus_screen,13q,1.0,-1.5008021641391616,-1.5008021641391616,-1.5008021641391616,1.0,43.0,43.0,0.0,8663.0,-1.2853921641391615,-2.6969521641391614,0.1571348358608385,0.5834845000000001,41.908344788179605,-1.4787521641391617,-0.022049999999999903,0.1933600000000002,-0.2154100000000001,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,BRCA1,ENSG00000012048,other_locus_screen,17q,1.0,-1.4658821641391615,-1.4658821641391615,-1.4658821641391615,1.0,39.0,39.0,0.0,7827.0,-1.5346821641391615,-5.202412164139162,1.4527578358608384,0.60416,34.018276222051874,-0.4375851641391615,-1.028297,-1.097097,0.06879999999999997,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,BRCA2,ENSG00000139618,other_locus_screen,13q,1.0,-1.5008021641391616,-1.5008021641391616,-1.5008021641391616,1.0,44.0,44.0,0.0,11007.0,-1.2508571641391615,-2.5603121641391615,0.09480583586083852,0.7256937500000001,43.219496874716086,-1.4787521641391617,-0.022049999999999903,0.22789500000000018,-0.24994500000000008,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2835EP,TOV2835EP,HGS,NA,P64,NA,RAD51D,ENSG00000185379,other_locus_screen,17q,1.0,-1.5365421641391614,-1.5365421641391614,-1.5365421641391614,1.0,11.0,11.0,0.0,1967.0,-1.8755221641391615,-2.6385521641391616,-0.7016171641391614,0.7872399999999999,24.84901039145907,-0.4375851641391615,-1.098957,-1.437937,0.33898000000000006,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,NA,NA,31.0,NA,0.0,True
TOV2881EP,TOV2881EP,HGS,NA,P64,NA,CCNE1,ENSG00000105173,oncogene_gain_screen,19q,1.0,1.3516500444444444,1.3516500444444446,1.3516500444444446,1.0,7.0,7.0,0.0,1494.0,1.3358300444444444,1.0328730444444445,1.8274900444444446,0.29589,248.9197175368139,1.0734200444444446,0.27822999999999976,0.2624099999999998,0.015819999999999945,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2881EP,TOV2881EP,HGS,NA,P64,NA,EGFR,ENSG00000146648,oncogene_gain_screen,7p,1.0,1.3601700444444444,1.3601700444444444,1.3601700444444444,1.0,31.0,31.0,0.0,6337.0,1.5070400444444445,-1.5439499555555554,2.8818800444444443,0.7427835,200.51909057913838,0.1308807444444445,1.2292893,1.3761593,-0.14687000000000006,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2881EP,TOV2881EP,HGS,NA,P64,NA,AKT2,ENSG00000105221,oncogene_gain_screen,19q,1.0,1.0734200444444446,1.0734200444444446,1.0734200444444446,1.0,6.0,6.0,0.0,1155.0,1.5350250444444447,0.6518350444444446,2.3910500444444445,0.6947362499999998,128.47546129870128,1.0734200444444446,0.0,0.46160500000000004,-0.46160500000000004,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
TOV2881EP,TOV2881EP,HGS,NA,P64,NA,BCL2L1,ENSG00000171552,oncogene_gain_screen,20q,1.0,1.0673100444444446,1.0673100444444446,1.0673100444444446,1.0,5.0,5.0,0.0,1076.0,1.9258800444444446,0.9153590444444446,2.6679900444444447,0.9820100000000003,143.78705446096654,0.4585430444444445,0.6087670000000001,1.4673370000000001,-0.85857,True,True,False,True,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
TOV2881EP,TOV2881EP,HGS,NA,P64,NA,SMAD4,ENSG00000141646,other_locus_screen,18q,1.0,-1.1315399555555554,-1.1315399555555554,-1.1315399555555554,1.0,11.0,11.0,0.0,2357.0,-1.1792699555555555,-1.9410799555555556,1.0644700444444446,0.8251440000000001,44.77853058973271,-1.1315399555555554,0.0,-0.04773000000000005,0.04773000000000005,True,False,True,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
TOV2929D,TOV2929D,HGS,NA,P57,NA,CCNE1,ENSG00000105173,oncogene_gain_screen,19q,1.0,3.0437563593541213,3.0437563593541213,3.0437563593541213,1.0,7.0,7.0,0.0,1494.0,2.6194163593541213,2.1270463593541216,2.9166063593541214,0.2674099999999999,522.1386077643908,-0.2183306406458787,3.262087,2.8377470000000002,0.42433999999999994,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,True,NA,31.0,NA,31.0,True
TOV2929D,TOV2929D,HGS,NA,P57,NA,PMS2,ENSG00000122512,other_locus_screen,7p,1.0,1.1225963593541213,1.1225963593541213,1.1225963593541213,1.0,16.0,16.0,0.0,3277.0,1.4891813593541214,1.0895163593541213,2.783916359354121,0.64595,568.3453109551419,0.8928813593541214,0.2297149999999999,0.5963,-0.36658500000000016,True,True,False,False,False,False,"relative gene screen; absolute copy number, allele-specific loss and clinical classification unestablished",NA,NA,False,NA,31.0,NA,31.0,True
