"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway",52,11,4.63,179,0.00538,0.00538,"ATF3,FADD,FAF1,G0S2,HTRA2,INHBA,LTB,PEA15,PPP1CA,SFRP1,TRAF2"
"GO:0000244","spliceosomal tri-snRNP complex assembly",14,5,1.25,181,0.00564,0.00564,"AAR2,LSM2,PRPF19,PRPF6,TSSC4"
"GO:0042994","cytoplasmic sequestering of transcription factor",14,5,1.25,182,0.00564,0.00564,"CCDC22,FAF1,NFKBIA,NFKBIB,NFKBIE"
"GO:0000387","spliceosomal snRNP assembly",40,12,3.57,87,0.00629,0.00013,"AAR2,GEMIN7,LSM2,LSM4,PRMT5,PRPF19,PRPF6,SART1,SNRPB,SNRPC,SNRPG,TSSC4"
"GO:0017004","cytochrome complex assembly",39,9,3.48,185,0.0063,0.0063,"COA4,COA8,COX17,SLC25A33,TACO1,TMEM223,UQCC2,UQCC3,UQCRFS1"
"GO:0000027","ribosomal large subunit assembly",26,7,2.32,187,0.00638,0.00638,"BOP1,MRPL20,MRTO4,NOP2,RPL10,RPL24,RPLP0P6"
"GO:0030150","protein import into mitochondrial matrix",20,6,1.78,188,0.00644,0.00644,"DNAJC19,DNLZ,ROMO1,TIMM17B,TOMM40,TOMM40L"
"GO:0030225","macrophage differentiation",61,12,5.44,189,0.00688,0.00688,"CSF1,CSF2,FADD,HSF1,IL34,INHBA,MMP9,NKX2-3,NRROS,PARP1,SPI1,UCP2"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",84,15,7.49,190,0.00691,0.00691,"ARHGEF2,ATF3,BAD,DAXX,DDX47,FADD,FAF1,FAIM2,GSK3B,NGF,PEA15,SFRP1,SFRP2,SORT1,SPI1"
"GO:0046364","monosaccharide biosynthetic process",100,17,8.91,191,0.00698,0.00698,"AKR1B1,ATF3,ENO1,ERFE,G6PD,GCK,GPI,GPT2,MDH2,MTCL2,PGAM1,PGD,PGK1,PGM1,SLC25A10,SLC25A11,TPI1"
"GO:0120162","positive regulation of cold-induced thermogenesis",101,17,9,194,0.00772,0.00772,"ALPL,BSCL2,FABP5,FGF21,G0S2,GADD45G,GRB10,HADH,HSF1,IGF1R,MFN2,OXT,PTH2R,TSHR,UCP2,YBX2,ZBTB7B"
"GO:0045040","protein insertion into mitochondrial outer membrane",15,5,1.34,195,0.00785,0.00785,"MTCH1,MTCH2,MTX1,TOMM40,TOMM5"
"GO:0002092","positive regulation of receptor internalization",27,7,2.41,197,0.00796,0.00796,"AP2M1,APLN,ARRB2,DRD2,DTNBP1,GREM1,NTF3"
"GO:0019731","antibacterial humoral response",70,13,6.24,200,0.00826,0.00826,"DMBT1,FAU,H2BC11,H2BC12,H2BC12L,H2BC21,H2BC8,IGHE,IGHG3,IGHM,KLK7,RPL39,WFDC2"
"GO:0048865","stem cell fate commitment",10,4,0.89,201,0.00851,0.00851,"DMRTA2,SFRP1,SFRP2,SOX18"
"GO:0099624","atrial cardiac muscle cell membrane repolarization",10,4,0.89,202,0.00851,0.00851,"FLNA,KCNA5,KCNJ5,SCN5A"
"GO:0006104","succinyl-CoA metabolic process",10,4,0.89,203,0.00851,0.00851,"DLST,NUDT8,OGDH,SUCLG1"
"GO:0042756","drinking behavior",10,4,0.89,204,0.00851,0.00851,"APLN,DRD2,REN,TACR1"
"GO:0007015","actin filament organization",457,56,40.73,208,0.00905,0.00905,"ACTC1,ADD2,AIF1L,APOA1,ARF1,ARHGAP25,ARHGEF2,ARPC1B,ARPC5L,CAP1,CAPZB,CCL24,CCL26,CD47,CDC42EP1,CDC42EP4,CFL1,CSF3,CXCL12,DAAM2,DBN1,DPYSL3,ELN,ESPN,FAM107A,FLNA,FSCN1,GAS7,GMFG,HAX1,HCK,INF2,ITGB5,KHDC3L,LCP1,LIMD2,MARCKSL1,PACSIN1,PFN1,PLEK,PREX1,RHOG,SFRP1,SH3KBP1,SHROOM2,SHROOM3,SPTBN2,TACR1,TAGLN2,TMOD1,TMSB10,TPM3,TPM4,TRIM27,WDR1,ZYX"
"GO:0043467","regulation of generation of precursor metabolites and energy",135,25,12.03,98,0.00974,0.00034,"AK4,AKT1,CHCHD2,COA8,COX17,COX7A2,COX7A2L,EIF6,GCK,GSK3B,IFNLR1,IGF1,P2RX7,PGAM1,PHB2,PPIF,PPP1CA,PPP1R3F,PRELID1,RUBCNL,SHMT2,SLC25A33,SLC2A6,TREX1,UQCC2"
