"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030198","extracellular matrix organization",316,6,2.41,149,0.03409,0.03409,"ADAM8,COL2A1,COMP,CTSV,NOX1,SMPD3"
"GO:0043062","extracellular structure organization",317,6,2.41,150,0.03454,0.03454,"ADAM8,COL2A1,COMP,CTSV,NOX1,SMPD3"
"GO:0008202","steroid metabolic process",317,6,2.41,151,0.03454,0.03454,"CYP2A6,HMGCS1,MVD,SULT1E1,SULT2A1,UGT2B15"
"GO:0031667","response to nutrient levels",492,8,3.75,152,0.0347,0.0347,"ASCL1,DAP,ELAPOR1,LRAT,PAGE4,SLC39A5,SLC6A4,UCN3"
"GO:1905952","regulation of lipid localization",161,4,1.23,153,0.03476,0.03476,"ABCA8,ATP8A1,CRY2,LRAT"
"GO:0045229","external encapsulating structure organization",318,6,2.42,154,0.03499,0.03499,"ADAM8,COL2A1,COMP,CTSV,NOX1,SMPD3"
"GO:0009914","hormone transport",318,6,2.42,155,0.03499,0.03499,"CRY2,FAM3D,SLC22A9,SLC30A8,SMPD3,UCN3"
"GO:0071772","response to BMP",162,4,1.23,156,0.03544,0.03544,"COL2A1,COMP,SLC39A5,SMPD3"
"GO:0071773","cellular response to BMP stimulus",162,4,1.23,157,0.03544,0.03544,"COL2A1,COMP,SLC39A5,SMPD3"
"GO:1901135","carbohydrate derivative metabolic process",1009,15,7.69,72,0.03572,0.00993,"ACSBG1,B3GALT2,COL2A1,CROT,FUT3,GLYCTK,HMGCS1,HS3ST5,MVD,NUDT4,SMPD3,ST8SIA4,SULT1E1,SULT2A1,UPB1"
"GO:0006637","acyl-CoA metabolic process",95,3,0.72,158,0.03602,0.03602,"ACSBG1,HMGCS1,MVD"
"GO:0035383","thioester metabolic process",95,3,0.72,159,0.03602,0.03602,"ACSBG1,HMGCS1,MVD"
"GO:0050905","neuromuscular process",163,4,1.24,162,0.03612,0.03612,"ASCL1,COMP,IGDCC3,NRXN1"
"GO:0071702","organic substance transport",2781,37,21.18,7,0.03691,0.00034,"ABCA10,ABCA6,ABCA8,ADAM8,APOD,APOH,ARL11,ATP10B,ATP13A4,ATP8A1,CABP4,CDH17,CHKA,COMP,CROT,CRY2,FAM3D,GPM6A,GRM7,HPX,LIME1,LRAT,PKD1L3,RALBP1,RRBP1,SLC15A2,SLC22A9,SLC30A8,SLC39A5,SLC6A4,SLCO4C1,SMPD3,TSG101,UCN3,VAMP5,VIL1,ZG16"
"GO:0008210","estrogen metabolic process",40,2,0.3,164,0.0372,0.0372,"SULT1E1,UGT2B15"
"GO:0051693","actin filament capping",40,2,0.3,165,0.0372,0.0372,"SPTBN5,VIL1"
"GO:0042060","wound healing",413,7,3.15,166,0.03884,0.03884,"APOH,C4BPB,COMP,MPIG6B,SLC6A4,SPRR3,VIL1"
