"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0009653","anatomical structure morphogenesis",2655,77,35.32,8,0.00636,5.7e-12,"ANGPT1,ANK2,ARHGAP15,ASB4,ASXL3,AXIN2,CACNA1C,CDH19,CHRNA9,CLRN1,CNTN1,CNTNAP1,COL11A1,COL1A2,COL3A1,COL5A2,CRB1,DACT1,DCN,DDHD2,DIO3,DLX2,DMP1,DOCK10,EPHA3,EPHA7,ERRFI1,ETV1,FEZ1,FGL1,FOXN3,FZD3,GZF1,HCN1,HERC1,HHIP,HOXB13,HOXC8,ITGA4,JAM2,JAM3,KRAS,LAMA2,LHX9,MAB21L1,MAEL,MAP1A,MEF2C,MEIS2,NDNF,NEFL,NR4A2,NR4A3,PAX6,PAX9,RBM20,ROBO1,ROBO2,RPGRIP1L,RPS6KA5,SCG2,SERPINF1,SIX1,SIX3,SIX4,SLC23A2,SLITRK6,SOX11,SPRY3,SYT1,TBX2,THBS2,TWIST1,UNC13A,WASF1,YAP1,ZDHHC15"
"GO:0002088","lens development in camera-type eye",88,5,1.17,283,0.00639,0.00639,"HSF4,PAX6,SIX3,SLITRK6,SOX11"
"GO:0014902","myotube differentiation",125,6,1.66,289,0.00655,0.00655,"CNTNAP1,JAM2,MEF2C,PLPP7,SIX1,SIX4"
"GO:0010975","regulation of neuron projection development",445,13,5.92,291,0.00678,0.00678,"CNTN1,EPHA3,EPHA7,FEZ1,MGARP,NDNF,NEFL,NR2F1,PAX6,ROBO1,ROBO2,SERPINF1,ZDHHC15"
"GO:0051384","response to glucocorticoid",126,6,1.68,292,0.00681,0.00681,"A2M,AXIN2,BCKDHB,CDO1,NEFL,SERPINF1"
"GO:0001822","kidney development",312,12,4.15,160,0.00698,0.001,"ADAMTS6,ANGPT1,EPHA7,GZF1,MEF2C,ROBO2,RPGRIP1L,SERPINF1,SIX1,SIX4,SOX11,YAP1"
"GO:0021987","cerebral cortex development",127,6,1.69,294,0.00707,0.00707,"COL3A1,MGARP,NARS1,NEFL,PAX6,ROBO1"
"GO:0031589","cell-substrate adhesion",350,11,4.66,300,0.00738,0.00738,"ANGPT1,COL3A1,DMP1,EPHA3,FGL1,GPM6B,ITGA10,ITGA4,JAM3,NDNF,RSU1"
"GO:0060368","regulation of Fc receptor mediated stimulatory signaling pathway",10,2,0.13,302,0.00739,0.00739,"CD226,PTPRC"
"GO:0051124","synaptic assembly at neuromuscular junction",10,2,0.13,303,0.00739,0.00739,"SIX1,SIX4"
