"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0072070","loop of Henle development",12,2,0.11,59,0.00486,0.00486,"AQP1,POU3F3"
"GO:0035437","maintenance of protein localization in endoplasmic reticulum",12,2,0.11,60,0.00486,0.00486,"KDELR2,KDELR3"
"GO:0072017","distal tubule development",12,2,0.11,61,0.00486,0.00486,"PAX2,POU3F3"
"GO:0043550","regulation of lipid kinase activity",39,3,0.35,64,0.00495,0.00495,"FLT1,PDGFRB,PPP2R5A"
"GO:0061041","regulation of wound healing",124,5,1.1,65,0.00497,0.00497,"KNG1,PDGFA,ST3GAL4,VIL1,WFDC1"
"GO:0035845","photoreceptor cell outer segment organization",13,2,0.12,71,0.00572,0.00572,"CDHR1,CRB1"
"GO:0030836","positive regulation of actin filament depolymerization",13,2,0.12,72,0.00572,0.00572,"DSTN,VIL1"
"GO:0003013","circulatory system process",583,12,5.17,76,0.00583,0.00583,"ABCC5,APELA,ATP6AP2,CYB5R3,ITGA1,KCNMB2,KNG1,NPY1R,PDE5A,SCN4B,SLC4A4,SLC5A1"
"GO:0035307","positive regulation of protein dephosphorylation",42,3,0.37,78,0.0061,0.0061,"ITGA1,PDGFRB,PPP2R5A"
"GO:0038084","vascular endothelial growth factor signaling pathway",43,3,0.38,82,0.00651,0.00651,"FLT1,PDGFRB,PIK3CB"
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response",14,2,0.12,83,0.00663,0.00663,"NCK1,PTPN1"
"GO:0031175","neuron projection development",987,17,8.75,84,0.00666,0.00666,"ADNP,ATP9A,BTBD3,CERS2,FLRT1,FRY,GDF7,ITGA1,KIRREL3,MYLIP,MYOC,NCK1,PARD6B,PAX2,PRKCI,SLITRK2,TRIM67"
"GO:0030835","negative regulation of actin filament depolymerization",44,3,0.39,86,0.00694,0.00694,"PLEKHH2,SCIN,VIL1"
"GO:0030833","regulation of actin filament polymerization",135,5,1.2,89,0.00708,0.00708,"BAIAP2L2,HCLS1,NCK1,SCIN,VIL1"
"GO:0043406","positive regulation of MAP kinase activity",87,4,0.77,92,0.00749,0.00749,"FLT1,PDGFA,PDGFRB,PTPN1"
"GO:0030335","positive regulation of cell migration",528,11,4.68,93,0.0075,0.0075,"ANGPTL3,APELA,AQP1,ENPP2,FLT1,MYOC,PDGFA,PDGFRB,PIK3CB,SYNE2,VIL1"
"GO:0043950","positive regulation of cAMP-mediated signaling",15,2,0.13,94,0.00761,0.00761,"ADCYAP1R1,SCTR"
"GO:0006029","proteoglycan metabolic process",90,4,0.8,97,0.00843,0.00843,"CHSY3,DSEL,GAL3ST3,HGSNAT"
"GO:0055091","phospholipid homeostasis",16,2,0.14,98,0.00864,0.00864,"ANGPTL3,FABP3"
"GO:0071071","regulation of phospholipid biosynthetic process",16,2,0.14,99,0.00864,0.00864,"FABP3,PDGFA"
"GO:1903035","negative regulation of response to wounding",91,4,0.81,100,0.00876,0.00876,"CERS2,KNG1,PDGFA,WFDC1"
"GO:1903510","mucopolysaccharide metabolic process",92,4,0.82,101,0.00909,0.00909,"ABCC5,CHSY3,DSEL,ST3GAL4"
