cell_line	patient_id	histotype	wes_passage	rna_passage	cnv_sample_id	historical_bam_hint	current_alignment_status	source_cnr	source_cnr_sha256	target_only_cnr_sha256	target_only_cnr_scratch_path	corrected_cns	corrected_cns_sha256
TOV1369	1369	HGS	P65	p65	TOV1369_P65	../work/53/1bf2853629a711f0eb15998b1fd9bd/TOV1369_P65.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cnr	7defb72bc889e9ee6b6e5ad12312e593376e3222a6c3465831c29c379c8559a4	2d302428de485d09a9b01e6eccc2c5d9bd374bb861cd5d32d4950a063bf462ce	tmp/wes_cnv_target_only_2026-09-06/TOV1369.targetonly.cnr	output/wes_cnv_target_only/TOV1369.cns	6e3b4ef31d3b57d84c5a227f867bef186644a38a9644cac80d8cc2ca500c1d62
TOV21G	TOV21G	CC	P59	p63	TOV21G_P59	../work/7f/1eda368f1e037f4afbbda4d6425c70/TOV21G_P59.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cnr	71735f53193e3461d691761cbf80084eae9d82a2b87d7da8c3c510d012f1a7e2	c8b4324f1c937c59b332b0fcf6fd4cbc1aa136beafa12e34eda79643c70c04ec	tmp/wes_cnv_target_only_2026-09-06/TOV21G.targetonly.cnr	output/wes_cnv_target_only/TOV21G.cns	634642de25316ddb84f463a94fbb0c2930a26ec1972269edfb3408fa39562088
TOV2295-R	2295	HGS	P57		TOV2295_R_P57	../work/b6/ecdb564b1632e569b8ba3584395884/TOV2295_R_P57.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cnr	9af1782172c9e10be57ae2cd37ea094212e0130fd964064ccabff9d4937c1bac	7b549732ad800d6d8cf61930f413fbc1415a6adf3d9e5f6cb995d0116995f5f3	tmp/wes_cnv_target_only_2026-09-06/TOV2295-R.targetonly.cnr	output/wes_cnv_target_only/TOV2295-R.cns	50b282f739f67ba79f1111357c3ea6d093c653120dac1c56226df4078ce0b528
TOV2414	TOV2414	MC	P65	p69	TOV2414_P65	../work/ad/34d92ef2d6e1ba0272c5fd188d3a96/TOV2414_P65.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cnr	f2a9b6ff1406dcbb5766730a0d5d13c72052e71f8b9d8e471e46698580b56c1c	4b77f12cd9a901729b02826faa4d93cb312f50bde4d92104ace34b7573db3835	tmp/wes_cnv_target_only_2026-09-06/TOV2414.targetonly.cnr	output/wes_cnv_target_only/TOV2414.cns	fb6bc922c6b493335afc008a6a0cee9f08af0f117f7ceefe9f0dc50eb3505038
TOV2835EP	TOV2835EP	HGS	P64		TOV2835EP_P64	../work/36/d2b6b1fc50b36bdee99aeaaae32dcf/TOV2835EP_P64.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cnr	65d79c8e363c84b17e491cca1db4a28e22b055fa92b82165c0fc785244da485b	80f27bae2f68d054433bfc919349d43be7133ed1f94f7d0c620add74e705ea0e	tmp/wes_cnv_target_only_2026-09-06/TOV2835EP.targetonly.cnr	output/wes_cnv_target_only/TOV2835EP.cns	1fcbf43d06e842ceb56a451ad50e6216d2dabb9f07d7e691b1a33cd09256d236
TOV2881EP	TOV2881EP	HGS	P64		TOV2881EP_P64	../work/ec/03f6bb30a3faac68cadaac88840ace/TOV2881EP_P64.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cnr	95fb29083a2e1bfa1d75d728f35eaa7cb45b0b6aaff28db1b8b7553c920ea611	f8b631eddd9b30a5fef07d4ce10e52ad75aacee85e980b1bddde8f17c18109aa	tmp/wes_cnv_target_only_2026-09-06/TOV2881EP.targetonly.cnr	output/wes_cnv_target_only/TOV2881EP.cns	681465919206f363423c37ac1244aba29e24a0cc2e94f88680794054c16f2c57
TOV2929D	TOV2929D	HGS	P57		TOV2929D_P57	../work/e4/cf2272b3a898107c8fd5d1b2d00216/TOV2929D_P57.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cnr	e144674db27560f8ff4790debc50cf0c7a9e77261978790f7eb8388d4b725ebf	d0ce695348c9a82488d29735b4503b4e1072694fb8cc6e4d3de7ee434252798f	tmp/wes_cnv_target_only_2026-09-06/TOV2929D.targetonly.cnr	output/wes_cnv_target_only/TOV2929D.cns	11a414d11a8037dcf2fd685e78d8d7751550af6d83cb42ee45d37bccd431f6fb
TOV3121D	3121	HGS	P68		TOV3121D_P68	../work/96/ceaa2123d23bcdaae717012af0de56/TOV3121D_P68.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cnr	0481e72c8039383eedaff86a07dfa8c855e6b40c2f58ddd41d2a9036b3a83c04	3121362efda106dbcc7908b72d20716f2c3867d36f78097dd27c3dfb4ecfb70c	tmp/wes_cnv_target_only_2026-09-06/TOV3121D.targetonly.cnr	output/wes_cnv_target_only/TOV3121D.cns	305c3004ace070ff5da1b19ef219d7b63f6a40dd6f2a80a8c7193765a5f7d0da
TOV3121EP	3121	HGS	P68		TOV3121EP_P68	../work/16/fda4442888f0e2b4b65817a33a17d5/TOV3121EP_P68.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cnr	fe5e352e1fa556287e37352b9182bf287c356cdd82888c81f7cc81f1026e3f8b	76b1cbbfb37495298631299e741c557fcd7adf8d829accbeff50a4df04e32e2d	tmp/wes_cnv_target_only_2026-09-06/TOV3121EP.targetonly.cnr	output/wes_cnv_target_only/TOV3121EP.cns	fd866126d6dce68e8435900405b3be595dac5e024618b2d70db8ce7e6e233268
TOV3133D	3133	HGS	P66		TOV3133D_P66	../work/3d/de394ce78ca6f4f7430349d2d49c90/TOV3133D_P66.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cnr	112a4464e5dc5b8820c7981bc06fb7dac32e70d7c491125886edcc79e652cf93	c78567d321f69b278b41dcf80b503c645b29f2f1dfaa9c63e759c7e4a1f62872	tmp/wes_cnv_target_only_2026-09-06/TOV3133D.targetonly.cnr	output/wes_cnv_target_only/TOV3133D.cns	4ca73f0fbe9c6432e400422b6f1d28e17cfc10c6aeab769a1806745068f3b3b2
TOV3133G	3133	HGS	P65	p61	TOV3133G_P65	../work/88/4b018ca712993eb48e717c6f5af079/TOV3133G_P65.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cnr	f074d0331a7bc90055ff1181bb6991d21e1844ede15ab7cbe2b8bbec7cc345ad	b0001886859e96590793ef7263de541aa63e85e2be6e8e3718d572fac2410027	tmp/wes_cnv_target_only_2026-09-06/TOV3133G.targetonly.cnr	output/wes_cnv_target_only/TOV3133G.cns	2e268de07eab4a6316d0e45aa15e5de3ea8f9fb5a6e545f04a11fe8d47e3fe7a
TOV3392D	TOV3392D	CC	P69	p69	TOV3392D_P69	../work/a0/b412be85b4ae656bd8ffb7530b658f/TOV3392D_P69.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cnr	345647140419dbb707ec77d3d67e63e9fa8e86043a2ca3f1fa002432bfe4fdbe	2433eac2dfa8cf57dff1dc766ad1993178e1ed638e0277db9a93b515d61d2bbe	tmp/wes_cnv_target_only_2026-09-06/TOV3392D.targetonly.cnr	output/wes_cnv_target_only/TOV3392D.cns	793990883098c18675e45128e2565ec76cd1d8446c99736a6b8ab57bd72bbcec
TOV81D	TOV81D	LGS	P23		TOV81D_P23	../work/a5/c66150f956d90d786643f4b3d08453/TOV81D_P23.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cnr	039ed164eaa683e7176728be7b2ab3a503b7b38822072a2338e9636b160942dd	51bc3935b4febfbe3cc358745b93ca41919525d6f94d05ca1625990496564597	tmp/wes_cnv_target_only_2026-09-06/TOV81D.targetonly.cnr	output/wes_cnv_target_only/TOV81D.cns	ef3349ba4bf7b08647e060ec6cc88b0562808078388236bf30eee63e7c561c85
