our_line,our_subtype,depmap_name,depmap_ACH,depmap_RRID,depmap_oncotree_subtype,spearman_hvg,pearson_hvg,is_selfpair,self_rank_of67,margin_self_vs_next
TOV3133G,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2700653755765916,0.29838472699546276,FALSE,NA,NA
TOV3133G,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.16945134438328238,0.1550880198126431,FALSE,NA,NA
TOV3133G,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.24468893669019526,0.20450117635583642,FALSE,NA,NA
TOV3133G,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.23245331081006956,0.20361763783227907,FALSE,NA,NA
TOV3291G,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.304968627916665,0.3287136997876683,FALSE,NA,NA
TOV3291G,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.4110561401959989,0.44015218622651986,FALSE,NA,NA
TOV3291G,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.2891099726665425,0.275641186294067,FALSE,NA,NA
TOV3291G,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.23647872316123075,0.21441300224459092,FALSE,NA,NA
TOV3291G,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.250297873079448,0.22036335125233367,FALSE,NA,NA
OV3331,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.23767397663568676,0.2547277679773069,FALSE,NA,NA
OV3331,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2698213072831238,0.2947997997534132,FALSE,NA,NA
OV3331,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.28395656279961384,0.2704300935308983,FALSE,NA,NA
OV3331,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.25496966347696914,0.21698209782770173,FALSE,NA,NA
OV3331,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.26110825494500367,0.2355262228126598,FALSE,NA,NA
OV90,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.8886915237932664,0.8940908816944604,TRUE,1,0.43878507725257293
OV90,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.3212427242404173,0.33874239059134686,FALSE,NA,NA
OV90,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.24895622867211173,0.22602163935195735,FALSE,NA,NA
OV90,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.22360647523021307,0.22217514804043295,FALSE,NA,NA
