source_id,role,model_or_reference,project_path,bundle_relative_path,sha256,bytes,original_cluster_path,inventory_sha256,inventory_hash_match,availability
WQC0146,samtools md primary report,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/samtools/TOV2929D_P57/TOV2929D_P57.md.cram.stats,sarek_3.5.1_run/reports/samtools/TOV2929D_P57/TOV2929D_P57.md.cram.stats,d9dc4f30595d67dfc3144da8acca5b1135f552a8b612185a105514cc4db5ef60,91998,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/samtools/TOV2929D_P57/TOV2929D_P57.md.cram.stats,d9dc4f30595d67dfc3144da8acca5b1135f552a8b612185a105514cc4db5ef60,True,present
WQC0147,mosdepth md integer depth-sum and target length,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.summary.txt,sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.summary.txt,1b5f1d0119b9fa02f84ff94793edad500065b7140d444587c98d01fc76cce44b,205171,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.summary.txt,1b5f1d0119b9fa02f84ff94793edad500065b7140d444587c98d01fc76cce44b,True,present
WQC0148,mosdepth md per-base target cumulative fractions,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.region.dist.txt,sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.region.dist.txt,45d445012855ec31c30967d42b881cd7aa8e6b63d5faceab0ae4b100b9b26e3c,724747,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.md.mosdepth.region.dist.txt,45d445012855ec31c30967d42b881cd7aa8e6b63d5faceab0ae4b100b9b26e3c,True,present
WQC0149,samtools recal primary report,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/samtools/TOV2929D_P57/TOV2929D_P57.recal.cram.stats,sarek_3.5.1_run/reports/samtools/TOV2929D_P57/TOV2929D_P57.recal.cram.stats,aeba48c5a076bfb6d9dbdf6981d6b9277c26e09ba947135a87084844a13688ed,113805,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/samtools/TOV2929D_P57/TOV2929D_P57.recal.cram.stats,aeba48c5a076bfb6d9dbdf6981d6b9277c26e09ba947135a87084844a13688ed,True,present
WQC0150,mosdepth recal integer depth-sum and target length,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.summary.txt,sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.summary.txt,1b122b95f0a70fd7a29a1678d3412562a4f917bf601fdffcf9f86481b77701c8,3214,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.summary.txt,1b122b95f0a70fd7a29a1678d3412562a4f917bf601fdffcf9f86481b77701c8,True,present
WQC0151,mosdepth recal per-base target cumulative fractions,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.region.dist.txt,sarek_3.5.1_run/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.region.dist.txt,acac69d05533f965dc4fb3342c46404fca77c102ce5e523388eb3234b4bc9edd,724691,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2929D_P57/TOV2929D_P57.recal.mosdepth.region.dist.txt,acac69d05533f965dc4fb3342c46404fca77c102ce5e523388eb3234b4bc9edd,True,present
WQC0152,Picard/GATK MarkDuplicates primary library metrics,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/markduplicates/TOV2929D_P57/TOV2929D_P57.md.cram.metrics,sarek_3.5.1_run/reports/markduplicates/TOV2929D_P57/TOV2929D_P57.md.cram.metrics,3792122f26778966a8334878e44c8fab1c1d298e63a20fba1b8b1f9ace2622d7,4658,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/markduplicates/TOV2929D_P57/TOV2929D_P57.md.cram.metrics,3792122f26778966a8334878e44c8fab1c1d298e63a20fba1b8b1f9ace2622d7,True,present
WQC0153,GATK CalculateContamination primary table,TOV2929D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/variant_calling/mutect2/TOV2929D_P57/TOV2929D_P57.mutect2.contamination.table,sarek_3.5.1_run/variant_calling/mutect2/TOV2929D_P57/TOV2929D_P57.mutect2.contamination.table,81d0b01c89cb08cb7b750f52f7c8737ec7136ca077ae0d87c200d54582ee4eb9,96,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/variant_calling/mutect2/TOV2929D_P57/TOV2929D_P57.mutect2.contamination.table,81d0b01c89cb08cb7b750f52f7c8737ec7136ca077ae0d87c200d54582ee4eb9,True,present
WQC0154,samtools md primary report,TOV3121D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/samtools/TOV3121D_P68/TOV3121D_P68.md.cram.stats,sarek_3.5.1_run/reports/samtools/TOV3121D_P68/TOV3121D_P68.md.cram.stats,1a07712cfd420b3d5e75878ec875c6c8a99fe80ef86e5437d24323420b2c9a0e,94611,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/samtools/TOV3121D_P68/TOV3121D_P68.md.cram.stats,1a07712cfd420b3d5e75878ec875c6c8a99fe80ef86e5437d24323420b2c9a0e,True,present
WQC0155,mosdepth md integer depth-sum and target length,TOV3121D,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV3121D_P68/TOV3121D_P68.md.mosdepth.summary.txt,sarek_3.5.1_run/reports/mosdepth/TOV3121D_P68/TOV3121D_P68.md.mosdepth.summary.txt,5055268d90172199cff4f7440ac24f178ee35466ee35c677268463d0ec1dee1f,196014,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV3121D_P68/TOV3121D_P68.md.mosdepth.summary.txt,5055268d90172199cff4f7440ac24f178ee35466ee35c677268463d0ec1dee1f,True,present
