cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV2295,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,provider_name,OV2295(R2)_P70,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,provider_library_name,OV2295.2_P70,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
