signature,cell_line,contribution,total_fitted,rel_contribution,reference_set,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,signature_group,n_snv_used,cosmic_source,cosmic_genome,mutationalpatterns_version,fit_method,max_delta,n_boots_requested,bootstrap_input_sha256,subtype,is_hypermutator
SBS10b,OV2085,16.571515954833163,471.27990258252083,0.03516278938275222,full,12.390621698004107,14.998758269661902,0,34.36083612336708,0.575,200,POLE proofreading,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS1,OV2085,0,471.27990258252083,0,full,2.955956173708295,0,0,36.31166074389342,0.105,200,clock-like (age),476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS2,OV2085,0,471.27990258252083,0,full,0.1247503188231104,0,0,0,0.01,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS4,OV2085,0,471.27990258252083,0,full,12.14449200392168,0,0,70.75952297811924,0.285,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS6,OV2085,0,471.27990258252083,0,full,21.57828140928701,0,0,87.54827584460773,0.36,200,MMR-d / MSI,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS7a,OV2085,0,471.27990258252083,0,full,1.4729918769188135,0,0,25.578180493730436,0.06,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS7b,OV2085,0,471.27990258252083,0,full,9.320007049947472,0,0,55.40926735815047,0.24,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS7c,OV2085,0,471.27990258252083,0,full,0.10903863632258357,0,0,0,0.005,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS9,OV2085,0,471.27990258252083,0,full,1.473042332101549,0,0,27.583924724028368,0.04,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS10d,OV2085,0,471.27990258252083,0,full,0.1146073260069016,0,0,0,0.005,200,POLE proofreading,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
