signature,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,cell_line,reference_set,bootstrap_seed,cache_max_delta,cache_sha256,cache_n_ref_full,cache_n_ref_restricted,cosmic_source,mutationalpatterns_version
SBS7b,6.7835621276008915,0,0,49.36155359066935,0.18,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS7c,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS7d,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS8,46.260841493351734,46.141423334662434,0,137.63565440802978,0.59,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS84,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS85,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS86,2.776474574911258,0,0,39.388926649145105,0.08,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS87,38.86069834198445,43.98619382399501,0,101.34344251215713,0.61,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS88,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS89,10.304022982347075,0,0,87.58959314953746,0.17,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS9,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS90,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS91,0.08359654054814823,0,0,0,0.005,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS92,0,0,0,0,0,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS93,0.8917397271557955,0,0,16.415129522844243,0.03,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS94,0.21031783198667545,0,0,0,0.005,200,OV1369-R2,full,232276812,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS1,2.955956173708295,0,0,36.31166074389342,0.105,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10a,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10b,12.390621698004107,14.998758269661902,0,34.36083612336708,0.575,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10c,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS10d,0.11460732600690161,0,0,0,0.005,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS11,0.6830164853232539,0,0,0.5071907520588175,0.025,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS12,4.883676790806132,0,0,51.47281906900891,0.125,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS13,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS14,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS15,39.31743651974197,45.34280213910988,0,82.52628659561377,0.735,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS16,0.11054159644071573,0,0,0,0.005,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS17a,0.4705938766899837,0,0,14.619179733239948,0.03,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS17b,0.0542804253600058,0,0,0,0.005,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS18,0.4815039640110363,0,0,0,0.02,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS19,0.7965244973057947,0,0,0.3665304283259705,0.025,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS2,0.1247503188231104,0,0,0,0.01,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS20,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS21,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS22,0,0,0,0,0,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS23,1.3159539594335725,0,0,30.229368342695143,0.035,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS24,15.96757648980084,0,0,73.67154996949901,0.335,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS25,0.76423119478655,0,0,0,0.015,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS26,8.169121883432538,0,0,48.453103746491905,0.24,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS28,0.27517431556513755,0,0,0,0.02,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS29,36.03347510752649,41.541378294561696,0,85.64973699389945,0.68,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS3,37.73389312753278,0,0,200.80520230044857,0.385,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS30,30.970782571342223,35.35377798997897,0,71.55570034379232,0.655,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS31,50.949829519600904,58.34588720137265,0,98.5041473171973,0.81,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS32,1.8075008024627013,0,0,26.356595404097497,0.065,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
SBS33,0.7801435614716282,0,0,17.569664500981048,0.04,200,OV2085,full,109470146,0.004,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,60,22,COSMIC_v3.2,3.18.0
