gene_id,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV4453,OV4485,OV866-2,TOV1369,TOV3041G,TOV3133G,TOV3291G,OV3331,OV90,TOV21G,TOV3392D,VOA10816,VOA12539,VOA295,VOA4841,VOA6861,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
ENSG00000164056,1071,64,161,530,2717,298,1782,921,216,1393,2926,780,159,1152,1708,3472,1300,1531,2865,696,191,522,2994,10954,1479,1569,828,2923,4888,1451,76
ENSG00000164061,125,78,826,64,69,108,320,284,355,88,232,256,76,563,21,112,882,348,247,232,154,225,670,262,82,123,125,109,146,312,518
ENSG00000164062,13438,3203,13975,8999,36367,26672,5432,17267,9802,19512,21391,22178,11856,12398,3004,19633,13582,9210,10043,17067,11429,5695,6902,9070,31950,6466,7125,2621,4266,5923,6652
ENSG00000164066,202,671,199,263,295,73,853,138,91,75,136,168,146,216,360,503,80,848,1000,3026,2179,1560,1346,2006,142,1398,1019,489,748,1128,868
ENSG00000164068,2157,1239,2999,2504,3994,1464,2889,3074,2307,2093,2671,1757,1343,2673,1464,3581,3631,2223,2709,3443,3812,2805,2759,3224,6728,2299,2543,803,1949,3121,2035
ENSG00000164070,338,196,52,53,720,92,1099,45,49,64,102,108,33,140,58,1582,184,844,1400,4048,1545,1599,1029,4197,175,368,985,174,795,4061,4212
ENSG00000164073,287,493,201,105,179,126,826,74,86,103,309,201,136,153,850,529,354,1232,1677,1556,1754,1519,870,1518,395,1625,1460,1473,2681,1273,1565
ENSG00000164074,303,331,135,144,140,90,432,100,113,88,326,158,71,269,648,353,166,600,812,957,473,844,555,668,210,764,463,333,736,352,402
ENSG00000164076,0,5,154,5,15,0,13,0,16,0,4,0,2,142,27,13,0,2,9,5,1,13,53,77,1,37,8,3,13,28,80
ENSG00000164077,686,1238,3178,544,3210,1122,537,1196,829,840,1690,1368,748,1106,285,1012,599,367,481,565,454,333,613,616,1214,479,293,131,258,599,1069
ENSG00000164078,49,3,48,556,4253,693,3067,40,21,2194,6267,772,1421,1458,158,1225,6364,3748,520,17978,9855,821,7,18,28814,1115,292,0,18,9,16
ENSG00000164080,1299,1638,3423,1050,1013,697,3724,1373,812,754,1753,1096,1113,1456,1137,2730,1331,1616,3085,1862,2375,1621,2112,1162,1983,2160,2106,727,1671,1322,1941
