level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_gene,IGF1R,NA,30,0.5973,0.5777,4.919e-4,0.002372,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGF2,NA,30,0.4461,0.7436,0.01349,0.03245,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGF2BP1,NA,30,0.7864,0.8499,2.58e-7,7.197e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGF2BP2,NA,30,0.3446,0.3903,0.0622,0.1107,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGF2BP3,NA,30,0.7566,0.7531,1.315e-6,2.406e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGF2R,NA,30,0.7295,0.7506,4.799e-6,6.415e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGFBP1,NA,23,0.3586,0.7014,0.09288,0.1524,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGFBP2,NA,30,0.798,0.7377,1.278e-7,4.14e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGFBP3,NA,30,0.5858,0.637,6.716e-4,0.003002,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGFBP4,NA,30,0.6939,0.6822,2.116e-5,2.016e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGFBP7,NA,30,0.8594,0.7637,1.198e-9,1.394e-7,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGHMBP2,NA,30,0.4505,0.473,0.01248,0.03059,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGSF3,NA,30,0.5186,0.5845,0.003326,0.01053,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGSF8,NA,30,0.4242,0.4836,0.01946,0.04343,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IK,NA,30,-0.0109,-0.0092,0.9544,0.9668,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IKBIP,NA,30,0.6756,0.6902,4.186e-5,3.414e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IKBKB,NA,30,0.4069,0.3891,0.02565,0.05424,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IKBKG,NA,30,0.3281,0.4214,0.07667,0.1305,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IKZF2,NA,19,-0.2193,-0.3031,0.367,0.4606,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL10RB,NA,13,-0.0824,0.3156,0.789,0.8372,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL13RA1,NA,23,0.5583,0.6064,0.005629,0.01611,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL17RA,NA,17,0.5931,0.378,0.01209,0.02992,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL18,NA,30,0.8808,0.8742,1.369e-10,3.234e-8,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL1B,NA,11,-0.211,0.8163,0.5334,0.6159,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL1RAP,NA,30,0.4977,0.5,0.005137,0.01492,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL1RN,NA,26,0.3942,0.627,0.04632,0.08811,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
