gene,n_paired,rna_min,rna_max,rna_range,rna_iqr,rna_sd,prot_min,prot_max,prot_range,prot_iqr,prot_sd,range_ratio_floor_sensitive,range_ratio,iqr_ratio,sd_ratio,complete30,rna_n_zero_lines,rna_has_zero,concord_spearman,is_adc_target
ABCD1,30,2.3442049930683853,5.0905906480658825,2.746385654997497,0.9244222825754211,0.6768043342141027,11.07762329956094,12.27108595073939,1.19346265117845,0.2965662421319504,0.24843326516649203,0.43455756077328395,0.43455756077328395,0.3208125201241612,0.3670680765585963,TRUE,0,FALSE,0.6289,FALSE
ABCD3,30,1.4870134342062546,5.414324058983189,3.927310624776934,2.0286323620440774,1.1915746285382325,12.98021754231468,14.21390199149795,1.2336844491832704,0.28943810152177285,0.2541452264242102,0.31412958307909294,0.31412958307909294,0.14267646860869906,0.21328519451272943,TRUE,0,FALSE,0.3317,FALSE
ABCD4,30,4.070489729102585,6.341792841452422,2.2713031123498375,0.6698820046175902,0.594489016436169,7.991439670700738,9.572357390290708,1.5809177195899702,0.33220070340799523,0.3780015827296868,0.6960399565315566,0.6960399565315566,0.49590928121383976,0.6358428369219051,TRUE,0,FALSE,0.4527,FALSE
ABCE1,30,2.80515571300253,6.688429101305491,3.8832733883029613,1.663394817580519,1.0730437568035722,13.93364275983346,15.12047354587783,1.1868307860443714,0.45553682164872633,0.30647585262686483,0.3056263794404213,0.3056263794404213,0.2738597095735363,0.2856135648557408,TRUE,0,FALSE,0.7099,FALSE
ABCF1,30,5.119508183356975,8.252575452775254,3.1330672694182793,0.7170551691642455,0.7271459022757418,14.03891107929493,15.5306795368875,1.4917684575925705,0.35615673019612615,0.3090075019788479,0.47613674693603025,0.47613674693603025,0.4966936234644819,0.42495942150227345,TRUE,0,FALSE,0.5199,FALSE
ABCF2,30,4.722094318675147,7.413005252719346,2.690910934044199,0.6562897829503731,0.5743441133800481,13.43999498544549,14.44595894331443,1.005963957868941,0.3977086265421246,0.277829789226172,0.37383770125645405,0.37383770125645405,0.6059954563885055,0.4837340241743365,TRUE,0,FALSE,0.1435,FALSE
ABCF3,30,4.977295266428039,7.1670779578820225,2.189782691453983,0.6627428811310638,0.5200642275832307,12.89109444464006,13.69959739314456,0.8085029485044988,0.21723127206801962,0.1801528665264889,0.3692160649820759,0.3692160649820759,0.3277760927394406,0.34640503416985624,TRUE,0,FALSE,0.2952,FALSE
ABHD10,30,2.8614863624203606,5.51180071645088,2.6503143540305194,0.6321589830844396,0.5969519652697677,12.95261019255188,14.05878255991686,1.1061723673649801,0.4574627432162419,0.29972353452258266,0.4173740242106549,0.4173740242106549,0.7236514159526498,0.5020898698057473,TRUE,0,FALSE,0.0461,FALSE
ABHD11,30,2.5476384085992523,7.2609556629034335,4.713317254304181,1.4720510556273467,1.1068377331488881,12.92270449627007,13.9181307769819,0.9954262807118308,0.4017221774196251,0.2600298240677404,0.21119441510176548,0.21119441510176548,0.2728996225259473,0.23493039339015925,TRUE,0,FALSE,0.6752,FALSE
ABHD12,30,4.964408706079573,7.416011014694899,2.4516023086153256,0.8839761845919716,0.5892707262835448,13.03409733109571,13.95376789490322,0.9196705638075091,0.3030856096028671,0.22225802253508664,0.37513040372642764,0.37513040372642764,0.3428662614284867,0.37717472228230237,TRUE,0,FALSE,0.7023,FALSE
ABHD13,30,0.5424868814407966,3.983166915779335,3.440680034338538,1.658727950331533,0.9732125904755192,7.422037064905918,8.906708175323594,1.4846711104176755,0.43641811118047613,0.33559913727086144,0.431505137240435,0.431505137240435,0.2631040919598952,0.3448364114431412,TRUE,0,FALSE,0.038,FALSE
ABHD14B,30,2.601418883869688,7.060125473480052,4.4587065896103635,1.280095576343915,0.9522569815145303,11.30018529634774,12.28246001214275,0.9822747157950094,0.3183367265318502,0.27226845178537307,0.22030485658865662,0.22030485658865662,0.2486819987621961,0.28591909229411994,TRUE,0,FALSE,0.6578,FALSE
