source_id,path,role,size_bytes,sha256,archive_member_sha256,archive_member_checksum_verified
CNVC018,models/OV2085_P64.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745730,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,True
CNVC019,models/OV2295_P61.targetcoverage.cnn,baseline_models target primary bin depth,18500031,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,True
CNVC020,models/OV2295_P61.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,True
CNVC021,models/OV2295_R2_P70.targetcoverage.cnn,baseline_models target primary bin depth,18501177,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,True
CNVC022,models/OV2295_R2_P70.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,True
CNVC023,models/OV3133_R2_P58.targetcoverage.cnn,baseline_models target primary bin depth,18502858,ac070c20cf5af208cc12041b6b6bf806177fa2bd798fb6ca420cf30e07d158bb,ac070c20cf5af208cc12041b6b6bf806177fa2bd798fb6ca420cf30e07d158bb,True
CNVC024,models/OV3133_R2_P58.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745731,c35a2ed597e546381ff13c815daae0c25688f37e81959cf012654c7dec38f08f,c35a2ed597e546381ff13c815daae0c25688f37e81959cf012654c7dec38f08f,True
CNVC025,models/OV3133_R_P71.targetcoverage.cnn,baseline_models target primary bin depth,18502173,39b3cf80e7137f201618acce256d5602defde6e9926dc3f9f8255813580c1f16,39b3cf80e7137f201618acce256d5602defde6e9926dc3f9f8255813580c1f16,True
CNVC026,models/OV3133_R_P71.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745732,20c9242cffde9f201523d65ef9f6129bdf89cf9eb2d2b827a6ff724935c668e2,20c9242cffde9f201523d65ef9f6129bdf89cf9eb2d2b827a6ff724935c668e2,True
CNVC027,models/OV3291_P46.targetcoverage.cnn,baseline_models target primary bin depth,18502725,e2326f217cb5eef134a5a951abe7926af4b6e2a935a1d2305c393f1833986b9e,e2326f217cb5eef134a5a951abe7926af4b6e2a935a1d2305c393f1833986b9e,True
