cell_line,sample_id,patient_id,source_vcf,source_maf,vcf_file_sha256,vcf_uncompressed_sha256,prior_manifest_hash_scope,recovery_declared_cluster_hash,recovery_hash_matching_local_scope,recovery_uncompressed_label_correct,cluster_bytes_rehashed_locally,vep_task_hash_in_vcf,vep_task_hash_in_successful_trace,vep_task_trace_match,filtered_vcf_records_before_vep,annotated_vcf_records,maf_records,vcf_pass,pass_retagged_common_variant,maf_pass,other_filter_changes,common_variant_subpop_cutoff
TOV2881EP,TOV2881EP_P64,TOV2881EP,judy_archive/data/wes - old/mutect2/TOV2881EP_P64/TOV2881EP_P64.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV2881EP_P64/TOV2881EP_P64.maf,a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99,a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99,uncompressed file bytes,a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99,uncompressed stream,True,False,e4/e9fe8198dd56a0c7d96bce6c0576a4,e4/e9fe81,True,23317,23317,23317,783,149,634,0,0.0004
TOV2929D,TOV2929D_P57,TOV2929D,judy_archive/data/wes - old/mutect2/TOV2929D_P57/TOV2929D_P57.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV2929D_P57/TOV2929D_P57.maf,fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3,fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3,uncompressed file bytes,fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3,uncompressed stream,True,False,25/e03b00db550b401444842bcc62c7e0,25/e03b00,True,23201,23201,23201,1226,166,1060,0,0.0004
TOV3121D,TOV3121D_P68,3121,judy_archive/data/wes - old/mutect2/TOV3121D_P68/TOV3121D_P68.mutect2.filtered_VEP.ann.vcf.gz,output/recovered_maf/TOV3121D_P68.maf,a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7,83543fe6984b983522f8d8e43fe199e4eea92086325a25759acedee7da663a5b,compressed file bytes,a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7,compressed file bytes,False,False,bb/a3d4f3154a9305396b859ffef657db,bb/a3d4f3,True,25082,25082,25082,547,158,389,0,0.0004
TOV3121EP,TOV3121EP_P68,3121,judy_archive/data/wes - old/mutect2/TOV3121EP_P68/TOV3121EP_P68.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV3121EP_P68/TOV3121EP_P68.maf,c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6,c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6,uncompressed file bytes,c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6,uncompressed stream,True,False,26/f38c10f03616f788196c47e71adf5c,26/f38c10,True,23833,23833,23833,636,156,480,0,0.0004
TOV3133D,TOV3133D_P66,3133,judy_archive/data/wes - old/mutect2/TOV3133D/TOV3133D_P66.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV3133D/TOV3133D.maf,5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f,5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f,uncompressed file bytes,5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f,uncompressed stream,True,False,d9/a342926a149fcdc532b6790268597e,d9/a34292,True,26942,26942,26942,655,151,504,0,0.0004
TOV3133G,TOV3133G_P65,3133,judy_archive/data/wes - old/mutect2/TOV3133G/TOV3133G_P65.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV3133G/TOV3133G.maf,60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079,60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079,uncompressed file bytes,60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079,uncompressed stream,True,False,70/83d9b083ec06dd6a0cab4d0eb2fd23,70/83d9b0,True,23802,23802,23802,672,147,525,0,0.0004
OV3331,OV3331_P54,OV3331,judy_archive/data/wes - old/mutect2/OV3331/OV3331_P54.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV3331/OV3331.maf,d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52,d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52,uncompressed file bytes,d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52,uncompressed stream,True,False,d0/baf221bf1bfabca27e8ca028bc6c46,d0/baf221,True,26204,26204,26204,528,142,386,0,0.0004
OV90,OV90_P63,OV90,judy_archive/data/wes - old/mutect2/OV90_P63/OV90_P63.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/OV90_P63/OV90_P63.maf,0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4,0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4,uncompressed file bytes,0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4,uncompressed stream,True,False,74/9a7bda6cb44eb0a6ac84b8c481205f,74/9a7bda,True,23364,23364,23364,856,170,686,0,0.0004
TOV81D,TOV81D_P23,TOV81D,judy_archive/data/wes - old/mutect2/TOV81D_P23/TOV81D_P23.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV81D_P23/TOV81D_P23.maf,a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895,a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895,uncompressed file bytes,a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895,uncompressed stream,True,False,c9/009c80abff2a9247f8ad4ef9667994,c9/009c80,True,28980,28980,28980,949,158,791,0,0.0004
TOV21G,TOV21G_P59,TOV21G,judy_archive/data/wes - old/mutect2/TOV21G_P59/TOV21G_P59.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV21G_P59/TOV21G_P59.maf,831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988,831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988,uncompressed file bytes,831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988,uncompressed stream,True,False,9c/33d4c785e67248a503e563d8cf10be,9c/33d4c7,True,32953,32953,32953,3723,254,3469,0,0.0004
TOV3392D,TOV3392D_P69,TOV3392D,judy_archive/data/wes - old/mutect2/TOV3392D/TOV3392D_P69.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV3392D/TOV3392D.maf,a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4,a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4,uncompressed file bytes,a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4,uncompressed stream,True,False,b0/3d2adcefee606a2cb1b80f3e6f1e0c,b0/3d2adc,True,25746,25746,25746,660,148,512,0,0.0004
TOV112D,TOV112D_P83,TOV112D,judy_archive/data/wes - old/mutect2/TOV112D/TOV112D_P83.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV112D/TOV112D.maf,a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6,a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6,uncompressed file bytes,a70e38a06a7b24777962877efe6c0264eb1d95bf4c31662b2a7a778ef8f14ff6,uncompressed stream,True,False,73/43f876e116136adccf5f4a7f494f71,73/43f876,True,22090,22090,22090,553,154,399,0,0.0004
TOV2414,TOV2414_P65,TOV2414,judy_archive/data/wes - old/mutect2/TOV2414/TOV2414_P65.mutect2.filtered_VEP.ann.vcf,judy_archive/data/wes - old/mutect2/TOV2414/TOV2414.maf,c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba,c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba,uncompressed file bytes,c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba,uncompressed stream,True,False,0f/fd161f2f646231616744e06143f095,0f/fd161f,True,21390,21390,21390,575,138,437,0,0.0004
