protein,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV3331,OV4453,OV4485,OV866-2,OV90,TOV1369,TOV3041G,TOV3133G,TOV3291G,TOV21G,TOV3392D,VOA10816,VOA12539,VOA14993,VOA295,VOA4841,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
NBAS,13.60984224881714,13.38682073557488,13.52875650628441,13.66080333722651,13.76037058339426,13.63605496057524,13.70402905656275,13.4008242784097,13.5911780341314,13.64621533553948,13.64245328453172,13.38811358373256,13.35943266993629,13.40871588713304,13.43531208514502,13.48864963335215,13.53760559898488,13.42105868330935,13.19805192018621,13.39515176760932,13.64077162207098,13.47740230898224,13.46130088737583,13.69473729608403,13.81387111346813,13.68268443684631,14.01268688702282,13.55621308181197,13.69350924530811,13.73921611885378,13.91393127509078
TARSL2,NA,NA,7.485981681606848,NA,NA,NA,NA,NA,7.80342736928364,NA,NA,7.997726615594183,NA,NA,8.12174895870908,NA,NA,NA,7.736028599994283,NA,7.420446768020875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DENND3,NA,NA,7.827003914625229,NA,8.416870809972101,NA,NA,NA,8.614231351224737,NA,NA,9.017126871502917,8.286948485345748,NA,8.22350234876675,NA,NA,NA,8.603149333151883,8.694557339533215,9.016847174865505,8.84367365169382,NA,NA,NA,NA,NA,NA,NA,8.709606659663018,NA
VWA8,14.33789109778687,14.21976639843123,14.22928122637273,14.53915458971168,14.14831774808331,14.95297263589325,14.35433753369778,14.07585898720109,13.93511658519053,14.23184860158863,14.40810994023076,14.22653452820499,14.70999473011685,14.29083490778351,13.93659848365643,14.27934959835007,14.40448635073946,14.42981423615939,14.07762024727719,14.47982134391034,14.44312141749551,13.88256198711131,14.58942636066283,14.4694506866846,14.56387942586739,14.29042661139591,14.56658582673722,14.18527681032529,14.53753747182861,14.33568034988546,14.48680658933603
SBNO1,11.05604966389765,11.28565436481228,11.23989999736203,11.19835893215067,10.8282911894191,11.30294290543305,11.08106133343918,10.82166952969542,11.11653389807412,11.1918978688642,11.29778772830666,11.29441195201305,11.22946886137396,11.24082536056304,11.16397844178961,11.44215253298102,10.77979340061359,11.00995999733895,11.1604286991923,11.49118592611317,11.46286075121353,10.94275632996507,11.65857075870365,11.34011468633439,11.10431026443549,11.01952596897535,10.97205607806819,11.2190173085118,11.3242015166816,11.51375830608853,11.39114873259618
GTPBP10,13.30063736571215,12.80048530994124,12.89755442055497,13.05988720240294,12.82255772445851,12.8863704341116,13.12523856246379,12.84490391881825,12.69363011067435,12.91786915322637,12.91854124971436,13.10537356589644,13.06187704478691,13.09225404644852,12.66777940432186,12.70924327771333,12.91740947978574,13.11271925893674,12.85305424243768,12.99416053345284,12.79135082827671,12.7505366822005,12.64836971329172,12.66042516175955,12.87952142367735,12.80661276636152,13.11130422714117,12.95667718385889,12.96894232159065,12.75160244180189,12.65322875256036
WDR91,11.35563253769376,10.98322119903793,11.43731444282613,11.35972023553713,11.15096393715897,11.34842703027452,11.28522222194257,11.39023532900284,11.30065590157022,11.19457249896476,11.42196182225815,11.21333032649444,11.41584432268418,11.25631857740002,11.48617605610664,12.0064927415699,11.44923544905157,10.66501276082196,11.6518774867806,11.59369607814371,11.34006410869494,11.20879458275085,11.28082069947563,11.00563804109223,10.96039681635629,11.13479780930069,11.15609111789387,12.0457733311845,11.55505020823141,11.38632105080558,11.22874222564151
KLRG2,12.86263503467329,10.63951934032715,10.99101711689859,11.02727578653324,11.57324731134388,10.671086990615,11.725894576351,10.89479755330698,11.95086966998233,10.64174338465578,10.62682385277462,10.77342938732276,11.31306020154948,11.03736789825378,10.38535809173654,10.63069507630892,11.66204789244181,10.68611800581992,10.32064108238111,10.57533317115131,10.86607749631158,10.38370388109731,10.75592715361505,11.43436747730433,10.84386281293108,10.57848278276672,10.75452992869962,11.805637357910861,12.68408286185782,10.59409830371083,10.72349248258651
RAB19,9.022776376417735,9.59844133669109,9.058359541198243,10.04841739529121,9.944169886406987,9.196950441342755,10.01638158607341,9.866975080641353,9.576814573848914,9.781907280608985,9.2629725426443,10.5012557871682,10.37422723260431,10.8169670507613,9.83198716699111,9.512998059431991,9.949901112073292,8.387895816815542,9.021606349033352,9.395964216615273,10.39464137222838,10.70477045242691,9.453277218789284,8.753898703314416,9.638601901462092,9.581075537467044,10.05166039725348,9.767804374396961,10.72178366039524,9.458852717161747,8.680830409617911
LCHN,7.655138467124083,7.459361782308474,8.182205301940987,7.984383493666654,7.707290054156015,7.93880440107809,8.645915611611006,7.783458322746466,8.396369044637552,8.33767792244227,7.766954145967649,8.271866274770733,8.050823616730307,8.072673860927303,8.593558287046287,7.749728089956693,8.108946298194068,7.443370157307034,8.195859316686962,7.751194753772879,8.26050850856896,7.227174285331849,8.079965447159736,8.070107322919222,8.21145308300545,8.292806706971032,8.459818225226451,7.863417258437829,7.938635493103745,7.468654535467365,7.997738475303243
