bundle_path,bytes,sha256,recovery_inventory_record,recovery_inventory_hash_match
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.bintest.cns,626672,88cbe0ac06a3bd809765ff63b3c26ca2d7f96ab0e4384486ef76f3fe710ff912,C00454,True
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.call.cns,4249754,8b190b894ec22e39f509fb004feecb31e647e41ab3ed771cafd249d9778c8aff,C00455,True
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.cns,4252611,383202fcba6135e8008b5da566cfd6e7b535b9450bd6c42033d67c75a71eb2f6,C00457,True
cnvkit_0.9.10_manual/commands.txt,10749,3d47d39646843ea4f283e309a5faa1b79159e5d2c1c5c9fbfcf1dbfd67cf8866,C00462,True
cnvkit_0.9.10_manual/commands1.txt,2790,4f968d4d25bf1898cde503a13371a26b77d5d73fd31967bbbec440b22d1d3bd2,C00463,True
cnvkit_0.9.10_manual/normal_samples/bwa-mem2.txt,985,301cbd6b9e0aafc8013bbd1c0568c08b212bfcd02cfd6bdbfc768533ee694b64,C00464,True
cnvkit_0.9.10_manual/normal_samples/convert_bam.txt,360,6adfa14c91c68793a20d2caf52e27c7fa7d543ee5b7e2015e271356cea7a8b62,C00465,True
cnvkit_0.9.10_manual/normal_samples/download_normal_keratinocytes.sh,203,3ddcbd27ea1fe0033b5b2c99df7a9260d7e22db004f77407a1c5af147b4809e8,C00466,True
cnvkit_0.9.10_manual/normal_samples/index_bam.txt,260,4dfd9715e1d1ab882e34b8cc5393369ea27f6c1d9172dc8fa3ca265b792eafc2,C00467,True
cnvkit_0.9.10_manual/normal_samples/run_bwa.sh,826,864d6060f03ff7e60f6a0c3fe0fe0f669737625580c656cf969623a806f829e6,C00468,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_1.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00469,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_1.out,102,48051c0f831f5be186f7a5909c2002633526704293968c501b45b1e5903b9a94,C00470,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_2.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00471,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_2.out,102,88ad92a9e739bec9a0d5af56f0011e915ad677945c9c2577885129e7bf593585,C00472,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_3.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00473,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_3.out,102,9fd77d5ce7140f63e745e8d5da49be2220b3108bdf7029cec91755e12b7c1f75,C00474,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_4.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00475,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_4.out,102,31c655d4a969b70b0339e5e7106aa25ef7131da5b7796466696a862cef6ad8a0,C00476,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_5.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00477,True
cnvkit_0.9.10_manual/normal_samples/slurm-4401780_5.out,102,c43916a91496e5e1b9e61b49809947121658f2ffa48fe5c1898260fad36b136b,C00478,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_1.err,4762,02d7b5c6b93b39a79418a308bd7290f0c43d0ba17dde0117bc8b39423b55d585,C00479,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_1.out,99,9f4506f4d4690bdf56b050346fd800ec1026fa7c2d730f56a1d6df2167a4c09b,C00480,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_2.err,63,e12178523ad12d325cccd54c7b42b80903cff502040048fbd5a2d43855421631,C00481,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_2.out,99,fff750b1cb8a14df4185ac397b33078b8a97649c266e299ba6754f6895d7a392,C00482,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_3.err,64,28203cb171b0a41cb2a66b49bc36afedc23da8479f093bf0d1e3b4264eae7a72,C00483,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_3.out,99,5bf3180a9ba096bb3801c48e5ba4d60b5da6f502bba6f24096aa46fb33ee35e8,C00484,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_4.err,63,374cf3c4410c2ed8a554ae327b55fd02a1008cae3f5736d2013fc7d70d512067,C00485,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_4.out,99,68a36342bcfc56adea4093117cdf856dfd6b5b370115503679272d080fcca5ba,C00486,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_5.err,64,53aa6a505aa4c051aca0fef35df208fa871126eb719938ee443a736d96c9c67a,C00487,True
cnvkit_0.9.10_manual/normal_samples/slurm-4439216_5.out,99,2799f914d9251600893f1153eb6d8f84d12e816cd9aee4cb3312a0eb3fbb0e8f,C00488,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_1.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00489,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_1.out,82,1219db44a8b79db2b3f09d877c015d226cb31f00490edcae55ae0d2ed2df005a,C00490,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_2.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00491,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_2.out,82,394ddabeb63c304c08572be53177599eed66fbddde11993425f676ee872528cb,C00492,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_3.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00493,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_3.out,82,be56e6bd91d906d10035348dc3356c9af104882c86a0e358f58bf797c4fb0f25,C00494,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_4.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00495,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_4.out,82,efb2018b43d2d8f2b1165fe0fa879179260eabb4ea6022fd6b82ae7f636b67f5,C00496,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_5.err,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,C00497,True
cnvkit_0.9.10_manual/normal_samples/slurm-4459055_5.out,82,b613a7c0288e2807ced7ecf6f2a13a4b61a245b0bd9f5041fcdcb8841be5374a,C00498,True
cnvkit_0.9.10_manual/normal_samples/sort_bam.txt,345,79bb9915a6911a185e36465f982c2c4c0dd0ec14e00b85d90033c408626fcb71,C00499,True
cnvkit_0.9.10_manual/run_cnvkit.sh,632,3978bb9c2d275aec2a9ff096474c9f1b74393a5533bd6928e419f15969b93cf8,C00500,True
mcgill_r004741_provenance/SeqCap_EZ_Exome_v3.targets.bed,5061124,8ff14a34cdab504bc6f65c36d7fb253ea52b52d75397b73aa3f85bb40be16369,C00505,True
recovery/file_inventory.tsv,1402140,1d2f67455e57d0feac01e8b4a633f57eaea53f0e299d83fbfe3aa7b469fccd37,,not listed
recovery/vcf_hash_check.tsv,3635,24f347977ea6826b34dd44aad9d26f91f24789b97e2fa9fc07bef02a5412be05,,not listed
sarek_3.5.1_run/launch/nextflow_history.tsv,4173,3e6b016a6c700ffbe10b004295c3004bafa5bba1225a37bfdc216c8e5d2cceef,C00615,True
sarek_3.5.1_run/launch/obcf-graham.cfg,909,9ba68eb9929b6e2b7ebbec71fd536b0138fdf023fae94e45a6b89ceb25f361fe,C00616,True
sarek_3.5.1_run/launch/run_sarek.sh,1122,ed33521c3dba0de0627c0268ff0b850b978b4f4d3b52b87b5e3b5c90770fd6fb,C00617,True
sarek_3.5.1_run/multiqc/multiqc_data/multiqc_fastp.txt,2743579,0b59c3a76b8f5bebdf56e48d90581831c2f5000430ecddf6a770bee2c131d02a,C00683,True
sarek_3.5.1_run/pipeline_info/execution_trace_2025-10-23_15-35-13.txt,7817320,f55ac11d51b9ed0f45e83090636c19fc4e979ece3e218037b99b4816dd7277c7,C00716,True
sarek_3.5.1_run/pipeline_info/nf_core_sarek_software_mqc_versions.yml,384,04c1ae655101ee59365d40dc312a8a371821c8e6f416274c7eaf23b26aabdae6,C00722,True
sarek_3.5.1_run/pipeline_info/params_2025-10-23_15-35-28.json,33095,db9a09997306fafd07ab54313aef1390208661c33593be176d303750f56af1ca,C00725,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV1369_R2_P66/OV1369_R2_P66.mutect2.filtered.bcftools_stats.txt,20294,223b4eae91bf0b6cb57362ce7956600e4aaedd1147c84d0adf2653055d84ade5,C00781,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV2085_P64/OV2085_P64.mutect2.filtered.bcftools_stats.txt,19488,8b2b0128469a9ffdd48549396c4493975b23d9882ca9cfb7456ce7ed47db2eeb,C00782,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV2295_P61/OV2295_P61.mutect2.filtered.bcftools_stats.txt,19769,acb69adefd63db99c5a499e6945983621f57b8773bc8a5c4b64939914aee5d5f,C00783,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV2295_R2_P70/OV2295_R2_P70.mutect2.filtered.bcftools_stats.txt,20238,a1a832c66a19c5164eb9402a211574fe5cf9d9abd0b79598cae11803938bd61e,C00784,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV3133_R2_P58/OV3133_R2_P58.mutect2.filtered.bcftools_stats.txt,20174,59ef9ce4bf0f13f0ab8d66d7929bc5d660df092cf66735b245149b9c5c82c313,C00785,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV3133_R_P71/OV3133_R_P71.mutect2.filtered.bcftools_stats.txt,19917,dcc29836296dbab369a8d946fbbe8674761302a070f8f0e5cd6f00a0e93a7439,C00786,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV3291_P46/OV3291_P46.mutect2.filtered.bcftools_stats.txt,19805,883524229a407c9af1cecb5d1e7e25eb6e60316a06e4bad422a239e986fff1b9,C00787,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV3331_P54/OV3331_P54.mutect2.filtered.bcftools_stats.txt,20297,eea8e74c80501fe37e767477080389db241c60f7131c7ee38655c4be75fb24b2,C00788,True
sarek_3.5.1_run/reports/bcftools/mutect2/OV90_P63/OV90_P63.mutect2.filtered.bcftools_stats.txt,18892,e2a02f91ed66442cba0c59c9c1abdd7a37c8cb407c75f15fc15e57983c7e814d,C00789,True
sarek_3.5.1_run/reports/bcftools/mutect2/TOV112D_P83/TOV112D_P83.mutect2.filtered.bcftools_stats.txt,19879,2607dbc1eab0ee3bb7dc1cd6cd2b594f2e6e0d38c7126808af27198e36fdcb40,C00790,True
