row,symbol,uniprot,symbol_representative,n_peptides,n_unique_peptides,npeptides_quant,qvalue,cv_replicates,isoDoping,present_n_lines,present_n_plex,pass_presence50,complete_case,zero_plex
MAN1A1,MAN1A1,P33908,TRUE,8,6,7,0,7.117787682579663,FALSE,24,4,TRUE,FALSE,FALSE
TTK,TTK,P33981,TRUE,9,8,9,0,5.737897752261185,FALSE,31,5,TRUE,TRUE,FALSE
MCM4,MCM4,P33991,TRUE,60,60,60,0,1.856522061756097,FALSE,31,5,TRUE,TRUE,FALSE
MCM5,MCM5,P33992,TRUE,58,58,58,0,2.630414571927809,FALSE,31,5,TRUE,TRUE,FALSE
MCM7,MCM7,P33993,TRUE,65,65,65,0,3.410057275458949,FALSE,31,5,TRUE,TRUE,FALSE
GALNS,GALNS,P34059,TRUE,15,14,14,0,1.073144508487865,FALSE,31,5,TRUE,TRUE,FALSE
SDC2,SDC2,P34741,TRUE,3,3,3,0,8.57668608275484,FALSE,31,5,TRUE,TRUE,FALSE
SHMT1,SHMT1,P34896,TRUE,17,15,15,0,6.26669126435446,FALSE,31,5,TRUE,TRUE,FALSE
SHMT2,SHMT2,P34897,TRUE,53,51,51,0,2.679839074165252,FALSE,31,5,TRUE,TRUE,FALSE
EPHX2,EPHX2,P34913,TRUE,10,10,10,0,7.836564707275878,FALSE,31,5,TRUE,TRUE,FALSE
HSPA4,HSPA4,P34932,TRUE,103,94,94,0,2.545157988654244,FALSE,31,5,TRUE,TRUE,FALSE
MPI,MPI,P34949,TRUE,16,16,16,0,5.955723798353933,FALSE,31,5,TRUE,TRUE,FALSE
GPC1,GPC1,P35052,TRUE,16,16,16,0,3.9833505165404,FALSE,31,5,TRUE,TRUE,FALSE
PFN2,PFN2,P35080,TRUE,14,14,14,0,2.109590537384718,FALSE,31,5,TRUE,TRUE,FALSE
CA8,CA8,P35219,TRUE,4,4,4,0,7.907435279868412,FALSE,31,5,TRUE,TRUE,FALSE
CTNNA1,CTNNA1,P35221,TRUE,100,75,75,0,1.490715256176483,FALSE,31,5,TRUE,TRUE,FALSE
CTNNB1,CTNNB1,P35222,TRUE,39,33,34,0,3.070664362456542,FALSE,31,5,TRUE,TRUE,FALSE
BMI1,BMI1,P35226,TRUE,5,3,3,0,7.123243367222868,FALSE,31,5,TRUE,TRUE,FALSE
