pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,n_group,evidence,go_id,term
GO:0097722 sperm motility,0.6196138185996553,0.8355777402626036,0.006502613278718473,-0.22190386557855923,-0.9282553511577218,148,EFCAB6;VDAC3;CHRFAM7A;CFAP58;TTLL9;TACR2;AKAP3;IQCG;CFAP45;ROPN1L;DNAJA1;PFN4;CCDC40;CFAP47;BBOF1;SLIRP;CFAP43;CCDC146;ARMC12;ZMYND12;NPHP4;DPCD;TEKT2;CFAP126;TACR1;SPACA9;TTLL1;DNAH5;PLTP;CFAP61;CFAP57;TAC4;ARMC2;ARMC3;CFAP53;TEX101;CFAP157;NME7;CFAP161;SLC22A16;ATP2B4;TAC1;CFAP97D1;KIF9;POC1B;DRC1;DRC7;TEKT5;LRRC23;CEP131;TSSK6;QRICH2;SORD;CFAP20;TMEM232;TEKT1;LZTFL1;INTS13;RNASE10;CEP78,MC,3,"descriptive; model-level, source-confounded",GO:0097722,sperm motility
GO:1902117 positive regulation of organelle assembly,0.6203359715716362,0.8362365424799646,0.006978569398045222,-0.2369565763090092,-0.9157910793853775,84,MOAP1;CCDC88A;PIP4K2A;UBAP2L;ENTR1;PPP1R35;GSK3B;TRIM32;ZMYND10;RP1;MAPK15;KCTD17;HAP1;WRAP73;WDR45,MC,3,"descriptive; model-level, source-confounded",GO:1902117,positive regulation of organelle assembly
GO:0006006 glucose metabolic process,0.620802999683475,0.8366806385361727,0.006325073455819196,-0.21778629482513098,-0.9327026161555286,181,NNMT;ERFE;GCG;PPARGC1A;CRTC2;CRY1;KCNQ1;SESN2;GPD1;PDHA1;FABP5;GAA;ENO1;WDR5;DYRK2;SLC35B4;GPI;SLC39A14;PDK1;OMA1;ZMPSTE24;SDS;FOXO1;PGM1;SLC25A13;INSR;RBP4;SDHAF3;IGF1;PDK3;PRKACA;PRKAG2;MDH2;NPY1R;TPI1;HK1;GOT1;IGFBP4;HK3;ARPP19;TIGAR;RORC;HKDC1;GAPDH;SLC25A10;SIRT1;PDK4;GNMT;NLN;PGK1;PCK2;TNF;ACACB;GNB3;ENO2;PGAM1;PFKL;SORD;ADIPOR1;G6PC3;PDK2;AKT2;IGFBP3;OGT;MST1;ATF3;PGAM2;SERP1;LEPR;PFKM;ACADM;PFKFB1;BRAT1;PRKAG1;PPP1R3B;PDHB,MC,3,"descriptive; model-level, source-confounded",GO:0006006,glucose metabolic process
GO:0045838 positive regulation of membrane potential,0.6209677419354839,0.8367172255062436,0.011425875975076948,0.3205771114960876,0.8734120892668064,12,UCN3;BID,MC,3,"descriptive; model-level, source-confounded",GO:0045838,positive regulation of membrane potential
GO:0046209 nitric oxide metabolic process,0.6211427284330655,0.8367675967216375,0.014490479671424859,0.21266853884919362,0.92670178010104165,78,KLRK1;RGN;NOS3;DDAH2;TLR2;TLR5;KLF2;TICAM1;IL1B;KLRC4-KLRK1;SMAD3;CYP1A1;GCHFR;CLEC7A,MC,3,"descriptive; model-level, source-confounded",GO:0046209,nitric oxide metabolic process
GO:0032205 negative regulation of telomere maintenance,0.6213903084785419,0.8369157177980097,0.012830539727801505,0.24084146456760014,0.9066486000124094,39,RTEL1;STN1;SRC;PINX1;SMG6;DCP2;SLX1B,MC,3,"descriptive; model-level, source-confounded",GO:0032205,negative regulation of telomere maintenance
GO:1901970 positive regulation of mitotic sister chromatid separation,0.6216547304937806,0.8370864517565721,0.007971395269224609,-0.30465329240421085,-0.887384009481796,21,ANAPC7;CDC20;MAD2L1BP;NSMCE2;PRAP1;ESPL1;CDCA8,MC,3,"descriptive; model-level, source-confounded",GO:1901970,positive regulation of mitotic sister chromatid separation
GO:0010324 membrane invagination,0.6219282725306822,0.8372693416051759,0.007236254001764404,-0.24848969665781398,-0.9090014906716509,61,ADGRB1;SNX3;PLCG2;GATA2;XKR4;ABCA1;XKR7;HAVCR1;MEGF10,MC,3,"descriptive; model-level, source-confounded",GO:0010324,membrane invagination
GO:0071384 cellular response to corticosteroid stimulus,0.6220659242513048,0.8372693416051759,0.007194464236369039,-0.24690882602497366,-0.909072970993509,63,FAM107A;ASS1;DDIT4;SSTR5;AIFM1;TFAP4;SCNN1B;SCNN1D;BMI1;AQP1;UGT1A1;ATP5F1A;FECH;MT-ND3;CYP1B1;PCK2;SRD5A1;HNRNPU,MC,3,"descriptive; model-level, source-confounded",GO:0071384,cellular response to corticosteroid stimulus
GO:0001782 B cell homeostasis,0.6240079365079365,0.837658335961316,0.007658235035843218,-0.2764247604160776,-0.8928049117842073,33,BCL2;RC3H2;DOCK10;ADA;SH2B2;ABL1;FOXP3;CAMLG;LYN;HIF1A,MC,3,"descriptive; model-level, source-confounded",GO:0001782,B cell homeostasis
