cell_line,subtype,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MITOTIC_SPINDLE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_DNA_REPAIR,HALLMARK_G2M_CHECKPOINT,HALLMARK_APOPTOSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MYOGENESIS,HALLMARK_PROTEIN_SECRETION,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_COMPLEMENT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_P53_PATHWAY,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_ANGIOGENESIS,HALLMARK_HEME_METABOLISM,HALLMARK_COAGULATION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PEROXISOME,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_SPERMATOGENESIS,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_PANCREAS_BETA_CELLS
OV90,HGS,0.30165829286555534,0.27966470576939084,0.3561240248395502,0.33428699051947564,0.23219932504251695,0.3408538325084043,0.2104228581337212,0.3720125419380915,0.3446265156289495,0.2988921392979117,0.2512212343096234,0.33685866624999006,0.23734854429283314,0.2289872111374982,0.32116218496622595,0.165408002938212,0.3851838288822904,0.28746809739376666,0.23191618007221637,0.22356468247295558,0.19268716801363717,0.19010489315404788,0.23157110027464822,0.4128157624551452,0.3223455611945424,0.39179815773807625,0.34952045395101106,0.4514372525897653,0.3690845859450801,0.24241051361049115,0.17361064402219606,0.24757735974247574,0.30492964974155146,0.43468261308222633,0.3067961024888499,0.39198589602447176,0.3164398010336307,0.3088810203586556,0.2718238924312524,0.2016202024710645,0.252132968049128,0.23166166329324145,0.2403505772564304,0.20061803586405202,0.26597807204255297,0.11255399991078652,0.08571889176352165,0.1768152620288337,8.337655545052058e-4,0.030065286535349567
TOV1369,HGS,0.2741619849943324,0.2894869732266754,0.3556649682849303,0.3218077818879299,0.26715760522959187,0.3176514127167247,0.18956429733170854,0.3820108196191101,0.3545665309782491,0.2934382173450535,0.32223762203626216,0.31272695002938244,0.2949049683020091,0.2939265527681938,0.28806650751428997,0.18777750817253602,0.32449904625760895,0.2708833994672032,0.22217636515360983,0.24845664480690544,0.21204638042910262,0.21845146211881683,0.18944635950899613,0.379020920374493,0.294405823374155,0.38134843160223875,0.37623007340527803,0.44233633037365583,0.39795754339221634,0.23848081759190376,0.1367882966201447,0.20335713371807984,0.2906720954501283,0.43010859817274827,0.32519426979128796,0.37331937212135435,0.32397224299877925,0.30743393090143356,0.24565543794383538,0.18876195701364473,0.25265632173749974,0.16331493356947313,0.21712653450251573,0.17120142577578978,0.26336231547534583,0.08912272805776456,0.07518197575114882,0.1535919234093287,0.04073635841680734,0.013534400982088024
TOV3041G,HGS,0.28984573400872027,0.2871228011029958,0.3459980023388931,0.3220778290697581,0.2407173416241496,0.3406667245564198,0.18510595938237062,0.38520997547620617,0.3635256265819672,0.2873721026258328,0.28821827057182703,0.3295722045021451,0.2955205003742164,0.2940510203138147,0.31625973848537636,0.2058482728357478,0.3391927089078216,0.29932649406658096,0.23031415488819373,0.2664291519533658,0.2314220811835076,0.2371781757766247,0.21100751078975388,0.38588230510404276,0.30667388066555124,0.3957199522898117,0.38356281682422244,0.4602063405645842,0.41558827832622325,0.2878084454000831,0.15368154811950008,0.23037048548482242,0.30506942440828133,0.44028641892270626,0.32491757050382764,0.37939631521963857,0.3249642008545811,0.33749571166298475,0.27223216185754706,0.17453985257924332,0.24800721084241695,0.1650458412803446,0.22966111278303913,0.1801739286712728,0.2806005624427559,0.09306056110725403,0.06438173674136105,0.17828746625259806,0.05368792509474485,0.035708107806483924
TOV3133G,HGS,0.2668036395862675,0.2751369320812609,0.3608182606576673,0.32599648542367976,0.2506656568877551,0.30170485322880103,0.20601686166275712,0.380776459712292,0.36239515982372317,0.27526821706511384,0.2991675383542538,0.3290188059272242,0.28167845929307644,0.27981008386267603,0.3030462521421915,0.1521432372748477,0.3489116159499259,0.3091420760446356,0.24646475969197634,0.24722198867776468,0.214168302817223,0.21680320754833948,0.18096785494086653,0.3837968751588343,0.3073585450615386,0.3843744865713743,0.3865743807314259,0.4521694038821603,0.4098600822411482,0.22074234102033674,0.13964842217364504,0.20094822227430675,0.2906555880440447,0.43466733927470447,0.3173841316426228,0.37770251683404366,0.3170989507778814,0.3027650264046726,0.2410367915382614,0.16296022491274398,0.24091448943916227,0.14684617181114012,0.21077228476265808,0.16870831502855543,0.2688913363175479,0.09899626218250568,0.060357227511700695,0.1287596376636989,0.038305968088346964,-0.00813849673567324
TOV3291G,HGS,0.27605061430798306,0.2974348305712208,0.3348245657994451,0.32972392912422055,0.24768680909863938,0.3304621049541223,0.15449871795489312,0.38742288302674366,0.3571151208900306,0.2915706707351212,0.2803992329149233,0.30841298875992296,0.2722227034383744,0.25626893240274284,0.3024867629428454,0.17041453941793716,0.34801537753344725,0.28302152610890663,0.22733387003087713,0.25762008856005836,0.2106378957835512,0.19633602385513338,0.20555784429123924,0.3830636963394427,0.30216553066149177,0.37914258219658903,0.38344732494771727,0.4473571640167584,0.39578600745406656,0.2700171765859469,0.11241228070175446,0.20480998189494992,0.28545324313112475,0.43301692730228136,0.3224036407115659,0.4021498254089122,0.331332245527891,0.32062388664723096,0.2663701852975717,0.1578318051913432,0.2448274276418979,0.14573217112348036,0.21445927335863801,0.14604092615519781,0.2506011966958639,0.0883429676303632,0.080780533952577,0.13904492898593235,0.022626443880417124,0.05361238212153341
TOV21G,CC,0.26780055308349604,0.29387093355637917,0.36590192945295374,0.3285374482409569,0.24959077380952377,0.3451521466760944,0.2030671142986964,0.38946562471063817,0.35643701239953474,0.30686866636806454,0.28287395397489534,0.34193436438139946,0.26084392291936287,0.2572924112493057,0.3160059641209908,0.19221665314493885,0.3668243246224371,0.30081450613834093,0.25062841168098426,0.2431005829269659,0.20915077444459673,0.25214885280861954,0.2113836107841489,0.3911037581450195,0.3184225832770987,0.3983075970011145,0.38026804305808903,0.4567062828045525,0.38939990143382974,0.2940090570541193,0.14532131046466001,0.26475578563349,0.32317553688544,0.4468384619696204,0.3311251173318206,0.393142052958822,0.3402894683332939,0.3125072668472434,0.28237347982691896,0.22029732125698198,0.2527623719906624,0.21502443300507312,0.24538246257490404,0.19650644993809652,0.2814186414513431,0.11099905410799638,0.08186621551220641,0.17238273591988185,0.05111684871122979,0.07736175436638582
TOV3392D,CC,0.24579832435726257,0.26640869878782836,0.35467914433388414,0.2984032681936505,0.2031781462585034,0.32084413597476014,0.11118726849733396,0.3790291605319618,0.2729260145463779,0.27187657465987347,0.2740428870292887,0.3179308781119117,0.25694791203142286,0.2466618871129148,0.29255484165637025,0.13991467580877226,0.35175445949940654,0.26017012006557505,0.1936280753958145,0.20447368421052625,0.15596446636125183,0.17717303030866616,0.16625777703043554,0.3841803645309181,0.2999848266444124,0.37751525794298535,0.29682091625819906,0.43275588551847355,0.37624795937225675,0.13102001406283437,0.08058250658595378,0.2155401113477562,0.29597438194118486,0.4272071352502663,0.30232404756000775,0.3767286112390984,0.33284856296877474,0.27212961328171537,0.22076184020744494,0.1411377063611623,0.23829786469683356,0.10558800585159522,0.20140250899989398,0.1570884420304326,0.2650852801678728,0.04159622992838896,0.01891372112622325,0.12097331936142897,-0.034992029902616795,-0.0036130796272529353
VOA10816,CC,0.29882823584615903,0.2995496408577877,0.37735577303784884,0.33379657464681556,0.20799452593537415,0.3270977799279686,0.2074984787254368,0.37053758327280795,0.33459328359489293,0.29565043950506686,0.2726630055788005,0.34632716017930687,0.2781913406002634,0.2653217770551548,0.3216124298062649,0.1534125099617416,0.37584347741682145,0.3165498262821588,0.2549989866153973,0.24401532985819185,0.200957338325495,0.21617707229072514,0.2274803822655681,0.3962586278755349,0.3197336144397105,0.39903292273268143,0.34995821911526437,0.44809203174628587,0.3792689547365665,0.20425233729515757,0.1736266184630907,0.2527852507815517,0.30657411035846915,0.4241363993049718,0.33009885312037535,0.37399313254171707,0.3411871592973955,0.3011699085776788,0.28292302781433987,0.2072693683473129,0.2528395386382889,0.18884815369844166,0.2427233693901787,0.18650030951715324,0.2699424227178713,0.1011737009997633,0.05966968527643768,0.1719061777514087,0.028311484277312338,0.023577785837843868
VOA12539,CC,0.26366136936961804,0.28086926711375404,0.3548589414844435,0.342809187039094,0.22245562287414966,0.3399131240205261,0.19592394751080944,0.3779121887781809,0.345217126249704,0.283708568949107,0.2653992329149233,0.33554423848393145,0.25129786826905987,0.25116789676163886,0.3002691306774251,0.17784414322826192,0.3695351002201622,0.33666098474263684,0.2577229531046368,0.23608416008071298,0.1874521204003876,0.25107791354373965,0.2064137380191694,0.3838606629867951,0.32066717510717846,0.3745963161873954,0.3674766100643244,0.45332717798210465,0.3844302028306972,0.21214980202201372,0.1354802141135587,0.23953029340597998,0.29970972085258607,0.43098158735496894,0.3164669902703755,0.37019831793404445,0.32678803528973055,0.32812273471737163,0.2637428375513292,0.20481984662785868,0.24662927604895268,0.15567059800448924,0.2178657348058004,0.18963491952554024,0.27766660431636114,0.08684478106660476,0.09633215461939415,0.14857679648980548,0.02111480812971056,0.057440293510406804
VOA295,CC,0.2810156068575369,0.28377270376937513,0.3420244853115292,0.34862893026215525,0.23398769664115637,0.3537032902054673,0.2211570356740893,0.38467355857208674,0.3757328661442719,0.2970181190862774,0.2818366457461646,0.31953898926491686,0.24136655762874804,0.23646934648848605,0.2980777509324585,0.15908445345861666,0.3484498193257475,0.3254252128392854,0.24343451327533838,0.23725996300655794,0.1805035538712083,0.21414368254322502,0.20936102236421716,0.3919408780864668,0.31751777212548093,0.38631376205645984,0.3975618192914461,0.4622545341624852,0.3948046772727972,0.17439839488937114,0.15389089737122352,0.21143335609202663,0.2829433996931058,0.42523513255983403,0.3253639692519863,0.3643759571754914,0.34712381798155323,0.302790146370452,0.24085413431906488,0.12059690527999412,0.24328395098983824,0.13067035472863386,0.2120581750216205,0.16769639362594357,0.2751959734602699,0.11324368900168935,0.06957016727109666,0.14294865015321256,0.007844409391068785,0.01975754701188559
