recovered_path,basename,sha256,archived_copy_count,all_archived_copies_identical,archived_paths
cnvkit_0.9.10_manual/OV90_P63_new/OV90_P63.cns,OV90_P63.cns,5a0dfeee44875cce110dfd358231853d2837cf5db87c631b51a051f27d337aa0,2,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cns;judy_archive/data/cnvkit wes - new/HGS/OV90_P63_new/OV90_P63.cns
cnvkit_0.9.10_manual/TOV112D_P83_new/TOV112D_P83.bintest.cns,TOV112D_P83.bintest.cns,3fafe86960b260c02b5b5898fa15f4896935c321ea961e9a209598110ef74bf2,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.bintest.cns;judy_archive/data/cnvkit wes - new/EC/TOV112D_P83_new/TOV112D_P83.bintest.cns
cnvkit_0.9.10_manual/TOV112D_P83_new/TOV112D_P83.call.cns,TOV112D_P83.call.cns,6f5376cd643b862511d107a3b9e4bbcecca3347ae118ae2e65c78c927989c5b5,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.call.cns;judy_archive/data/cnvkit wes - new/EC/TOV112D_P83_new/TOV112D_P83.call.cns
cnvkit_0.9.10_manual/TOV112D_P83_new/TOV112D_P83.cns,TOV112D_P83.cns,0850746dbb15a9e46b9f8a7151d998fcd50abae74aaf2dceae40001de4441eec,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cns;judy_archive/data/cnvkit wes - new/EC/TOV112D_P83_new/TOV112D_P83.cns
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.bintest.cns,TOV1369_P65.bintest.cns,55c9900419a6a662e941b1d1352624f3a8a41b289282188679a5144b05b52a2d,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.bintest.cns;judy_archive/data/cnvkit wes - new/HGS/TOV1369_P65_new/TOV1369_P65.bintest.cns
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.call.cns,TOV1369_P65.call.cns,0e1c0945fc37fe66ae8ecb5b1080bc564bc7f7743050c44ed40fda184e4327a9,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.call.cns;judy_archive/data/cnvkit wes - new/HGS/TOV1369_P65_new/TOV1369_P65.call.cns
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.cns,TOV1369_P65.cns,2d8933c59fa21051ca1d911b973d7c607cecf06eb6401f8c02d20c070e04ae6c,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV1369_P65_new/TOV1369_P65.cns;judy_archive/data/cnvkit wes - new/HGS/TOV1369_P65_new/TOV1369_P65.cns
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.bintest.cns,TOV21G_P59.bintest.cns,1867855b10492868ee5d87be927505d2f1ba16780371f3bb2aab733c156f15e2,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.bintest.cns;judy_archive/data/cnvkit wes - new/CC/TOV21G_P59_new/TOV21G_P59.bintest.cns
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.call.cns,TOV21G_P59.call.cns,9b3017781e56a78416ad4ae17a856dd4b0ac5dbf97272ad050ed6e1dbf981e8c,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.call.cns;judy_archive/data/cnvkit wes - new/CC/TOV21G_P59_new/TOV21G_P59.call.cns
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.cns,TOV21G_P59.cns,308e5100cf9affc7d331229c81e2b252fbaeccc3492350e8e4787f915e1be7d1,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV21G_P59_new/TOV21G_P59.cns;judy_archive/data/cnvkit wes - new/CC/TOV21G_P59_new/TOV21G_P59.cns
