cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV2295,SBS31,0.5089430000435546,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS44,0.47450144893412566,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS42,0.4731996016747308,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS4,0.4670381753639538,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS29,0.4640063002673128,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS11,0.4633556929455186,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS7b,0.45977858898873725,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS8,0.44911936122033697,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS18,0.4444395859150564,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS23,0.4431061382947637,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS35,0.4427921392005987,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS15,0.4320679904632092,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS93,0.42411237112254924,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS84,0.41813196848053275,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS9,0.4173278397166646,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS19,0.4063168444234117,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS37,0.4047228428655612,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS86,0.3826248592766728,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS26,0.37449209848114756,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS12,0.36882972156902005,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS7a,0.3625511607456561,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS10c,0.3556097062573409,POLE proofreading,COSMIC_v3.2,GRCh38,403
OV2295,SBS36,0.34159563489511796,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS41,0.3315282065132312,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS85,0.2962548863724524,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS20,0.2916539119845075,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS21,0.2680265132246913,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS10b,0.26695474397819874,POLE proofreading,COSMIC_v3.2,GRCh38,403
OV2295,SBS88,0.2486209818227221,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS7d,0.24685947156141413,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS2,0.24629047366603013,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS16,0.24293739377802845,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS14,0.23660111997610908,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS33,0.21553086637280325,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS10d,0.20935865580144467,POLE proofreading,COSMIC_v3.2,GRCh38,403
OV2295,SBS7c,0.19121348678912659,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS38,0.18654144340542758,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS22,0.16472217464075964,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS10a,0.1567123264284414,POLE proofreading,COSMIC_v3.2,GRCh38,403
OV2295,SBS17a,0.15014685137184597,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS91,0.1397338754694704,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS13,0.13940183449671967,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS28,0.06968313168061767,POLE proofreading,COSMIC_v3.2,GRCh38,403
OV2295,SBS17b,0.06603340722823078,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS34,0.0636693753819296,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS90,0.063355868117589,other,COSMIC_v3.2,GRCh38,403
OV2295-R2,SBS40,0.7781899743651396,clock-like (age),COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS3,0.7669054806764618,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS94,0.7507644544043205,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS5,0.7249907717091479,clock-like (age),COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS89,0.7042530330610822,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS4,0.6713886159493814,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS29,0.6537392974231131,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS8,0.6387079900997005,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS24,0.6327173514104829,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS92,0.6261825154082853,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS25,0.6161599525872994,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS18,0.5962714437245665,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS35,0.5711675782867589,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS31,0.5426937614688442,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS39,0.533833635947352,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS6,0.5085821096439466,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS32,0.5075661546930758,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS42,0.5020488957375214,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS87,0.4952143392483264,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS30,0.47773851646860144,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS44,0.4649331466548389,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS7b,0.44756321188301995,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS15,0.44491107465057605,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
