pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,go_id,term
GO:1901881 positive regulation of protein depolymerization,0.23163018540336083,0.5600569214464561,0.015394309766957145,-0.41262905261307325,-1.2014321692874832,18,CFL2;WDR1;STMN2;VIL1;AURKB;KATNB1;PLEK,CC,GO:1901881,positive regulation of protein depolymerization
GO:0021532 neural tube patterning,0.2317635653221305,0.5601566934514609,0.014907097220748277,-0.35707022449614995,-1.1836151155026993,31,SSBP3;KDM2B;BMP4;PAX6;TULP3;GPR161;FKBP8;RNF220;DZIP1L;EN1;PTCH1;GLI3;SOX17,CC,GO:0021532,neural tube patterning
GO:1900272 negative regulation of long-term synaptic potentiation,0.23225847606289668,0.5611298343021354,0.01562742692975858,-0.4519102794060841,-1.205478180049592,13,PTN;FAM107A;AGER;APOE,CC,GO:1900272,negative regulation of long-term synaptic potentiation
GO:1990961 xenobiotic detoxification by transmembrane export across the plasma membrane,0.2324445137481158,0.561356270096224,0.020587556429866774,0.4476192429076751,1.2026003735665867,10,SLC17A3;SLC22A5;ATP7B;OSCP1,CC,GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane
GO:0002423 natural killer cell mediated immune response to tumor cell,0.23280835802276625,0.5614445502382142,0.02056987924960151,0.44747871081750545,1.2022228117284535,10,PVR;CEACAM1;HAVCR2;IL12B;CD160,CC,GO:0002423,natural killer cell mediated immune response to tumor cell
GO:0009074 aromatic amino acid family catabolic process,0.23272494022975102,0.5614445502382142,0.021907853250560504,0.3428426297801537,1.171534825372522,22,HAL;ACMSD;HGD;KYNU;KMO,CC,GO:0009074,aromatic amino acid family catabolic process
GO:0021542 dentate gyrus development,0.2331273621692963,0.5614445502382142,0.015039740328915495,-0.37644249377955774,-1.1884104918750134,25,TMEM108;EMX2;LEF1;TUBA1A;FXR2;PROX1;NR2E1;CDK6;LMX1A,CC,GO:0021542,dentate gyrus development
GO:0022404 molting cycle process,0.23305247522216815,0.5614445502382142,0.013678723269783359,-0.2770165135133766,-1.141430398416023,97,SOX18;KRT17;DSC1;TNFRSF19;LRIG1;TP63;FST;GNAS;FUZ;NUMA1;TGFB2;DLX3;FGF10;NSDHL;ALX4;IGFBP5;RELA;GLI2;LDB1;NSUN2;SOX21;PIAS4;TMEM79;SOSTDC1;DKK4;HDAC2;LRP4;APCDD1;INHBA;GAL;PLA2G10;FGF7;LHX2;COL6A1;SNAI1;DKK1;WNT10A,CC,GO:0022404,molting cycle process
GO:0022405 hair cycle process,0.23305247522216815,0.5614445502382142,0.013678723269783359,-0.2770165135133766,-1.141430398416023,97,SOX18;KRT17;DSC1;TNFRSF19;LRIG1;TP63;FST;GNAS;FUZ;NUMA1;TGFB2;DLX3;FGF10;NSDHL;ALX4;IGFBP5;RELA;GLI2;LDB1;NSUN2;SOX21;PIAS4;TMEM79;SOSTDC1;DKK4;HDAC2;LRP4;APCDD1;INHBA;GAL;PLA2G10;FGF7;LHX2;COL6A1;SNAI1;DKK1;WNT10A,CC,GO:0022405,hair cycle process
GO:0090335 regulation of brown fat cell differentiation,0.23297720147322923,0.5614445502382142,0.01517639586061181,-0.390102767009625,-1.1929447965727455,22,METRNL;BMP7;SLC7A10;SIX1;ZBTB7B;PIM1;SOX13;FLCN,CC,GO:0090335,regulation of brown fat cell differentiation
GO:1903867 extraembryonic membrane development,0.23305584792523842,0.5614445502382142,0.015596102956636129,-0.451596172848597,-1.2046402955877498,13,BMP7;BMP5;DNAJB6;E2F8;FZD5;HTRA1,CC,GO:1903867,extraembryonic membrane development
GO:0015866 ADP transport,0.2333301011668121,0.5614880669550394,0.015707042766087583,-0.475552790002704,-1.208101481836515,11,SLC17A9;SLC25A5;SLC25A23,CC,GO:0015866,ADP transport
GO:0060004 reflex,0.23328005901155643,0.5614880669550394,0.015251762669632473,-0.40020595070688947,-1.194833964434924,20,SLITRK6;SHANK1;NMB;HPN;AFG3L2,CC,GO:0060004,reflex
GO:0002697 regulation of immune effector process,0.23400894972361147,0.5628989016096841,0.047968091114568207,0.18437726322676704,1.060194769403554,365,HLA-DMB;DDX60;LAPTM5;S100A9;GRN;IL4R;DHX58;IL6;RBP4;ADGRE2;LYN;SPN;PVR;IL10;LITAF;IL13RA2;CD46;APPL2;NFKBIZ;SLC22A13;IL4;EVPL;NCF1;TLR3;CLCF1;PARP3;GPI;C3;PCK1;NOD1;CEACAM1;TNF;IL33;FCN1;FER;FCRL3;SEMA7A;SLC15A4;RIPK2;DNASE1L3;LGALS3;SERPINB9;RASGRP1;CD55;CCR2;IL27;LEP;CALHM6;FGL2;NCKAP1L;GPRC5B;RIPK3;IFNL1;RSAD2;HLA-F;PLA2G3;TNFRSF1B;ZBTB1;KIT;STAT5B;MASP1;IL18;HAVCR2;IRF5;IL12B;CD160;CLNK;IL20RB;JAK3;LILRB4;SERPING1;IFNB1;NDFIP1;NECTIN4;LBP;TMBIM6;SLC7A5;WNT5A;DDRGK1;KLHL22,CC,GO:0002697,regulation of immune effector process
GO:0006469 negative regulation of protein kinase activity,0.2341302350984335,0.5629679555688312,0.013382045717059908,-0.26558317028689593,-1.1308198779251042,123,PYCARD;RASIP1;TRIM27;PAK2;SNCA;AKT1S1;AKT1;MYOCD;TAF7;ITGB1BP1;PKIA;MEN1;ACP4;DBNDD2;HHEX;TRIB2;PPIA;APOE;CDKN2A;PLK1;ADAR;RGS2;INCA1;LATS2;INPP5K;PTPN1;PREX1;ERRFI1;ZFYVE28;CBLC;CD300A;DNAJA3;CDK5RAP1;PDCD4;UCHL1;PPM1F;CDKN1B;DUSP7;PTPRC,CC,GO:0006469,negative regulation of protein kinase activity
GO:0046883 regulation of hormone secretion,0.23428092888506633,0.563107639743118,0.012627817481013317,-0.24146793420678958,-1.112329432105932,245,GCG;FOXL2;EPHA5;CPT1A;ANO1;KCNA5;RASL10B;NMB;SCG5;AGTR1;FGG;SIRT4;ENSA;DRD2;TACR1;GNAS;P2RY1;PPARD;BAD;SOX11;POMC;ADRA2A;UQCC2;ENY2;SERP1;NKX6-1;GNAO1;TRH;HTR2C;CHRM3;PLCB1;KCNK9;GNAZ;HLA-DRB1;GCK;ADCY8;C2CD2L;CDK16;OSBP;RAB8B;PFKL;SYT7;TNFSF11;CNR1;GNA11;FAM3D;EDN3;SPINK1;GIPR;HADH;CREB1;VSNL1;TARDBP;SLC9B2;SLC25A22;FFAR2;MYB;PFKM;PRKACA;CYP19A1;ABCC8;C1QTNF1;SYBU;PDX1;REN;INHBA;KCNJ11;SIDT2;GAL,CC,GO:0046883,regulation of hormone secretion
GO:0060330 regulation of response to type II interferon,0.23454340715319857,0.5632932302127174,0.020839330201768754,0.4080616798225701,1.1931241174921317,13,PARP14;PPARG;PARP9;TXK;PTPN2;IRGM,CC,GO:0060330,regulation of response to type II interferon
GO:0060334 regulation of type II interferon-mediated signaling pathway,0.23454340715319857,0.5632932302127174,0.020839330201768754,0.4080616798225701,1.1931241174921317,13,PARP14;PPARG;PARP9;TXK;PTPN2;IRGM,CC,GO:0060334,regulation of type II interferon-mediated signaling pathway
GO:0090398 cellular senescence,0.23497661029147177,0.5641108437356651,0.013640255331011838,-0.27833383452129135,-1.1411859718936321,94,YBX1;TP63;AKT3;CALR;SRF;NSMCE2;NUP62;KAT5;TERF2;HMGA2;BCL6;YPEL3;LMNA;CDKN2A;HLA-G;HMGA1;MAP2K7;WNT16;MAP2K6;FBXO4;IGF1R;DNAJA3;FZR1;MAPK14;MIF;CDKN1B;MAPKAPK5;FBXO5;MAP2K1;ABL1;CDKN2B;HRAS;CDK6,CC,GO:0090398,cellular senescence
GO:0035335 peptidyl-tyrosine dephosphorylation,0.23549186128803964,0.5651247073767045,0.0219018892712793,0.3367861188827108,1.1645199843452614,23,PTPRJ;DUSP1;DUSP5;PTPRF;PTPN11;PTPN2;PTPN12,CC,GO:0035335,peptidyl-tyrosine dephosphorylation
GO:0034370 triglyceride-rich lipoprotein particle remodeling,0.23594815604899966,0.5657731612515643,0.015604858369681408,-0.4741596393795759,-1.204562300976672,11,APOA1;APOA2;LPL;APOE,CC,GO:0034370,triglyceride-rich lipoprotein particle remodeling
GO:0034372 very-low-density lipoprotein particle remodeling,0.23594815604899966,0.5657731612515643,0.015604858369681408,-0.4741596393795759,-1.204562300976672,11,APOA1;APOA2;LPL;APOE,CC,GO:0034372,very-low-density lipoprotein particle remodeling
GO:0070293 renal absorption,0.23607918263090677,0.5658642134720315,0.022835013008470035,0.2989114652537468,1.147205628500069,34,SLC12A3;OXSR1;KCNQ1;CTNS,CC,GO:0070293,renal absorption
GO:0009147 pyrimidine nucleoside triphosphate metabolic process,0.23642800944138473,0.5662539288747777,0.01499294053399403,-0.3840350433558215,-1.1883897838406454,23,DTYMK;UCK2;NME4;DCTPP1;NME1;TBPL1,CC,GO:0009147,pyrimidine nucleoside triphosphate metabolic process
GO:1900118 negative regulation of execution phase of apoptosis,0.23636656120971633,0.5662539288747777,0.02075106011747515,0.40748901455792785,1.1914497119493426,13,MTRNR2L4;MTRNR2L6;MTRNR2L11;MTRNR2L1;MTRNR2L8;MTRNR2L13;MTRNR2L10,CC,GO:1900118,negative regulation of execution phase of apoptosis
GO:0035023 regulation of Rho protein signal transduction,0.23728990772930444,0.5680944601975986,0.013698971687438152,-0.2846547229081393,-1.1439910895184473,83,FLOT1;COL3A1;APOA1;RASIP1;CDC42SE1;NET1;RIPOR2;KCTD10;TEK;RIPOR1;BCL6;ARHGEF2;ARHGAP20;ARHGAP35;APOE;ARHGDIA;ARHGEF18;FLCN;DOCK7;ROBO1,CC,GO:0035023,regulation of Rho protein signal transduction
GO:0007026 negative regulation of microtubule depolymerization,0.23770274646021608,0.5684114829825301,0.014701825394206443,-0.3578917040273905,-1.177676404363748,30,TPX2;STMN2;MID1;ARHGEF2;APC2;DIAPH3;GAS2L2;MAP6D1;KATNB1;GAS2L1,CC,GO:0007026,negative regulation of microtubule depolymerization
GO:0010039 response to iron ion,0.23754955401387512,0.5684114829825301,0.022386908105351048,0.3140702102562929,1.1538709576371833,29,TFAP2A;MDM2;HIF1A;SLC11A2,CC,GO:0010039,response to iron ion
GO:0062009 secondary palate development,0.23765672805807186,0.5684114829825301,0.014869069304315145,-0.37511575095874056,-1.1842220298540325,25,TBX1;LRRC32;LEF1;SOX11;TGFB2;TGFBR3;WNT11,CC,GO:0062009,secondary palate development
GO:0019370 leukotriene biosynthetic process,0.23794230335812486,0.5687606708808007,0.021243738288445377,0.36373289711205237,1.1735740889566515,18,GGT1;LTA4H;GGTLC2;ALOX5;GGT3P;GGTLC3,CC,GO:0019370,leukotriene biosynthetic process
"GO:0036037 CD8-positive, alpha-beta T cell activation",0.23807666926630272,0.568858241967932,0.014853477376136813,-0.3749854365741058,-1.1838106337324437,25,TOX;DAPL1;ZBTB7B;HLA-A;EOMES;WDFY4,CC,GO:0036037,"CD8-positive, alpha-beta T cell activation"
GO:0006720 isoprenoid metabolic process,0.23872919818456884,0.5699428413742353,0.028946271664198137,0.22099841067437676,1.0943549830353811,116,CYP2C9;CYP27C1;SCPEP1;ABCA4;RBP4;CEL;RDH10;NAPEPLD;CYP3A5;CYP2C8;ALDH1A2;RDH16;SDR9C7;PECR;CYP3A4;RETSAT;ADH6;CYP4V2;NUS1;RDH14;AKR1B15;CYP2C19;CYP2C18;RDH11,CC,GO:0006720,isoprenoid metabolic process
GO:0010885 regulation of cholesterol storage,0.23899921813917122,0.5699428413742353,0.01519045930823186,-0.4165573757623955,-1.1939216344696362,17,CES1;PPARD;APOB;LPL;EHD1,CC,GO:0010885,regulation of cholesterol storage
GO:0046887 positive regulation of hormone secretion,0.23891308049723892,0.5699428413742353,0.013050451328889922,-0.25972264225835895,-1.1253181167057844,140,GCG;FOXL2;ANO1;RASL10B;NMB;FGG;DRD2;TACR1;P2RY1;PPARD;BAD;SOX11;SERP1;NKX6-1;TRH;CHRM3;PLCB1;HLA-DRB1;GCK;ADCY8;C2CD2L;OSBP;RAB8B;TNFSF11;GNA11;EDN3;SPINK1;GIPR;CREB1;VSNL1;TARDBP;FFAR2;MYB;PFKM;PRKACA;CYP19A1;ABCC8;C1QTNF1;SYBU;PDX1;INHBA,CC,GO:0046887,positive regulation of hormone secretion
GO:0090504 epiboly,0.2389432871130972,0.5699428413742353,0.023040952118403603,0.28772675298134454,1.1417808611316798,39,PHLDB2;ITGB1;CEACAM1;MSX2;ITGA5;CLASP2;ADAM17;LRG1;ACVRL1;ARHGAP24;HTN1;DDR1;RREB1;CD44,CC,GO:0090504,epiboly
GO:2000648 positive regulation of stem cell proliferation,0.2388600308858627,0.5699428413742353,0.014249662003185495,-0.32172764591708203,-1.161351186981619,46,VEGFC;PBX1;LTBP3;KDR;TP63;SOX11;FGF10;HMGA2;CITED1,CC,GO:2000648,positive regulation of stem cell proliferation
GO:0097345 mitochondrial outer membrane permeabilization,0.23934859154929577,0.5705522482208027,0.014613425890249589,-0.35193122900028045,-1.1744306116409942,32,IER3;HSPA1A;SIVA1;BAK1;EYA2;SLC25A5;BID;VDAC2;GSK3B;CHCHD10;SLC25A6;GCLC;SLC25A4;TMEM102;TMEM14A;GSK3A;FZD9;ACAA2,CC,GO:0097345,mitochondrial outer membrane permeabilization
GO:0034384 high-density lipoprotein particle clearance,0.23953586088755294,0.5707749098970257,0.015467403998675144,-0.472678298280941,-1.200799079702424,11,APOA1;APOA2;APOE,CC,GO:0034384,high-density lipoprotein particle clearance
GO:0055003 cardiac myofibril assembly,0.23995319188248698,0.5715453818399543,0.015016867853180375,-0.403111126477658,-1.190187449205475,19,NEBL;NKX2-5;SRF;PDGFRB,CC,GO:0055003,cardiac myofibril assembly
GO:0001556 oocyte maturation,0.24094748656152165,0.572120915962754,0.01461235554959588,-0.3597777276011756,-1.175348989850299,29,TRIP13;PDE3A;ANG;AURKA;REC8;LSM14B;DMC1;ZAR1;WASHC5;PPP2R1A;FBXO5;WEE2;NPR2;NPPC,CC,GO:0001556,oocyte maturation
GO:0001822 kidney development,0.24058315192295007,0.572120915962754,0.012190875593792264,-0.2338684012964432,-1.101307687232254,316,EPHA7;SULF1;EYA1;CD34;SIX2;WT1;ASXL1;PBX1;EFNB2;PYGO2;AGTR1;HAS2;ANGPT1;BAG6;SLIT2;MAGED1;BMP7;ODC1;DTNBP1;SOX11;DLL1;MME;APH1A;ADAMTS6;SERPINF1;TGFB2;KLF15;LRP2;CTNNBIP1;FGF10;PDGFRB;RGN;SIX1;TEK;BMP4;WNT11;BASP1;FADD;ACE;RET;DCHS1;STRA6;CITED1;PLCE1;LHX1;EZH2;CYP26A1;RARB;WNT6;MMP9;GLI2;IRX1;VANGL2;PODXL;GDF11;DDC;MEF2C;NUP85;HOXC11;SEC61A1;AQP2;BMPER;GZF1;HPGD;DCHS2;MMP17;FLCN;KCNJ8;AQP1;DYNC2H1;PDGFD;OSR2;ANKS6;WFS1;ARL3;NUP160;LRP4;MAGI2;LZTS2;REN;KIRREL3;PROX1;GATA3;WNT4;ROBO2;NPHS1;JMJD6;STAT1;SIX4,CC,GO:0001822,kidney development
GO:0010002 cardioblast differentiation,0.2406151914626491,0.572120915962754,0.015162363461422055,-0.4229866138749778,-1.1939521509079725,16,NKX2-5;SRF;TGFB2;MYOCD;TBXT;EOMES;ISL1;PRICKLE1,CC,GO:0010002,cardioblast differentiation
GO:0045005 DNA-templated DNA replication maintenance of fidelity,0.24050251806437487,0.572120915962754,0.0139733903626933,-0.3048824492366563,-1.1508005723069241,58,NUCKS1;DYNLL1;PARP1;TRAIP;TONSL;TIMELESS;RAD51;CENPX;RFWD3;FBH1;SLFN11;EXO1;TIPIN;SMARCAL1;ASF1A;OOEP;CDK9;POLD1;ZRANB3;MUS81,CC,GO:0045005,DNA-templated DNA replication maintenance of fidelity
GO:0051592 response to calcium ion,0.240875015361927,0.572120915962754,0.013067840788227947,-0.26182256253456626,-1.1253733946628577,132,RASGRP2;ITPKA;FGG;SCN5A;RYR1;ADCY1;HCN1;PENK;NRXN1;SMPD1;AQP3;SLC25A23;ALOX5AP;CALM3;TRPC3;SYT1;HNRNPD;CALM1;ADCY8;ITPKB;TUBA1A;NFATC2;P2RX5;ADD1;KCNMB2;CPNE1;MEF2C;GDI1;GIPR;JUNB;CALM2;MICU3;AANAT;TRPV6,CC,GO:0051592,response to calcium ion
GO:0060525 prostate glandular acinus development,0.24032116503591977,0.572120915962754,0.015489495502425609,-0.4873757883241856,-1.2046193643555152,10,ESR1;TP63;WDR77,CC,GO:0060525,prostate glandular acinus development
GO:0060716 labyrinthine layer blood vessel development,0.2407143300055807,0.572120915962754,0.01504891253724898,-0.40940606601898843,-1.1920479542139342,18,HEY2;AKT1;NSDHL;WNT2;JUNB;FZD5;OVOL2;MAPK1,CC,GO:0060716,labyrinthine layer blood vessel development
GO:1901796 regulation of signal transduction by p53 class mediator,0.24077991589142347,0.572120915962754,0.013368071170435945,-0.27416859060916304,-1.1348900912212452,100,CHD5;USP2;URB2;ANKRD1;AKT1;EIF5A;SMYD2;AURKA;NOP2;PRMT5;YJU2;KMT5A;TP53RK;CHEK1;SNAI2;AURKB;CDKN2A;RPL37;BOP1;PAK1IP1;MAP2K6;RPS7;HNRNPK;TRIM24;RNF34;NOP53;KDM1A;MIF;PSMD10;RPF2;MAPKAPK5;SNAI1;MLF1;HIC1;RPL5;RPS20;TP53;MYC;TAF9B;PIP4P1;SPRED2;PRMT6,CC,GO:1901796,regulation of signal transduction by p53 class mediator
