sample_id,cohort,cell_line,patient_id,bin_group,source_id,n_bins,summed_bin_bp,interval_union_bp,length_weighted_mean_depth_x,unweighted_mean_bin_depth_x,median_bin_depth_x,minimum_bin_depth_x,maximum_bin_depth_x,zero_depth_bins,positive_depth_bins,zero_depth_bin_fraction,bp_in_zero_depth_bins,fraction_bp_in_zero_depth_bins,reference_retained_bins,reference_retained_bp,zero_depth_reference_retained_bins,positive_depth_reference_retained_bins,bp_in_zero_depth_reference_retained_bins,reference_retained_length_weighted_mean_depth_x,maximum_abs_log2_depth_rounding_difference,coordinates_sha256,coordinates_and_genes_sha256,status
TOV2295_R_P57,baseline_models,TOV2295-R,2295,target,CNVC039,290475,63514049,63514049,85.89618347043027,88.47474601021644,63.6719,0.0,9780.31,1541,288934,0.005305103709441432,321678,0.0050646747462124485,204706,44729346,671,204035,129171,95.57645075312597,5.448019996556752e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV2295_R_P57,baseline_models,TOV2295-R,2295,antitarget,CNVC040,42709,2580384051,2580384051,1.9369591358166398e-05,2.6670994403989796e-05,0.0,0.0,0.805015,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.074221427191606e-05,3.4748866104550302e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV2414_P65,baseline_models,TOV2414,TOV2414,target,CNVC041,290475,63514049,63514049,78.64423795988303,80.40374854174628,62.3533,0.0,7002.15,1517,288958,0.005222480420001722,315729,0.004971010429519302,204706,44729346,664,204042,127883,84.9814957145695,5.479082020976023e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV2414_P65,baseline_models,TOV2414,TOV2414,antitarget,CNVC042,42709,2580384051,2580384051,1.2631068843325446e-05,2.0413573251539488e-05,0.0,0.0,0.53934,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.3526167464607832e-05,5.620894304669832e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV2835EP_P64,baseline_models,TOV2835EP,TOV2835EP,target,CNVC043,290475,63514049,63514049,91.61105034129803,94.99155960090124,65.8882,0.0,5318.43,1600,288875,0.005508219295980722,333707,0.005254065915400859,204706,44729346,750,203956,146867,102.37191118809665,5.520093709598939e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV2835EP_P64,baseline_models,TOV2835EP,TOV2835EP,antitarget,CNVC044,42709,2580384051,2580384051,1.6737827327549235e-05,2.8477260062281953e-05,0.0,0.0,0.624695,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.7923950715046152e-05,2.195041832742106e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV2881EP_P64,baseline_models,TOV2881EP,TOV2881EP,target,CNVC045,290475,63514049,63514049,91.88990919729679,95.33833439548667,67.7167,0.0,11781.3,1512,288963,0.005205267234701782,315268,0.004963752192841619,204706,44729346,670,204036,128648,102.17576598256296,5.5519829764705264e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV2881EP_P64,baseline_models,TOV2881EP,TOV2881EP,antitarget,CNVC046,42709,2580384051,2580384051,1.5022952697284363e-05,2.299417687138542e-05,0.0,0.0,0.592553,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.6087551775456235e-05,1.2030585549993589e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV2929D_P57,baseline_models,TOV2929D,TOV2929D,target,CNVC047,290475,63514049,63514049,84.25957617118362,87.69208924424784,58.3512,0.0,4412.66,1603,288872,0.005518547207160685,337877,0.005319720681010275,204706,44729346,695,204011,136147,95.48734010741597,5.450135934914613e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV2929D_P57,baseline_models,TOV2929D,TOV2929D,antitarget,CNVC048,42709,2580384051,2580384051,2.3163225705738172e-05,3.112030485377789e-05,0.0,0.0,0.963546,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.4804683895130826e-05,5.566271580104143e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV3121D_P68,baseline_models,TOV3121D,3121,target,CNVC049,290475,63514049,63514049,89.86776319385591,92.64239215194794,65.2381,0.0,5760.33,1623,288852,0.005587399948360444,336852,0.0053035825191998075,204706,44729346,747,203959,144799,100.0956978492472,5.513132228962547e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV3121D_P68,baseline_models,TOV3121D,3121,antitarget,CNVC050,42709,2580384051,2580384051,1.3611157341865001e-05,2.120737315319956e-05,0.0,0.0,0.523218,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.4575709773799447e-05,2.147725479240137e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV3121EP_P68,baseline_models,TOV3121EP,3121,target,CNVC051,290475,63514049,63514049,87.03966507047086,89.9820831567812,62.9505,0.0,5137.16,1587,288888,0.005463465014200878,328877,0.005178019748040312,204706,44729346,718,203988,138822,97.05873752920596,5.475912553265516e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV3121EP_P68,baseline_models,TOV3121EP,3121,antitarget,CNVC052,42709,2580384051,2580384051,1.5654260051384885e-05,2.5484057224472592e-05,0.0,0.0,0.612146,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.6763596621630472e-05,3.429601138194016e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
