our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
BIN67,ACH-000443,0.17093175509876216,0.7994347487342421,OVKATE,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000701,0.16801866572768645,0.813435834556744,RMUGS,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000719,0.16626698823219765,0.8145393804634019,RMGI,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001418,0.1662201303407362,0.816846890425265,UWB1289,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000132,0.15000785543841455,0.8194285367194223,JHOS2,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001369,0.1494595385582799,0.8099210528998277,OCIC5X,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001632,0.1362878700339727,0.8021088735925681,PEO4,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001630,0.13464965918627184,0.80856349427991,PEO1,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000608,0.1342705397364798,0.7975185274875973,COV644,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001340,0.1157541278121144,0.8042360000191169,COV413A,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000460,0.11390400042254135,0.8155204528331735,SNU8,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000333,0.1067149494896126,0.7824395515234606,JHOM2B,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-002038,0.10570175794075426,0.7809344049754298,HSKTC,"Ovarian Cancer, Other",SCCOHT,FALSE,TRUE
BIN67,ACH-000796,0.09173504183078093,0.8048265653508951,MCAS,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000123,0.8227535638031122,0.9483842317916596,COV434,Small Cell Carcinoma of the Ovary,SCCOHT,TRUE,TRUE
COV434,ACH-001278,0.6817980415877982,0.9082572327290793,BIN67,Small Cell Carcinoma of the Ovary,SCCOHT,FALSE,TRUE
COV434,ACH-001279,0.5609440943769025,0.8849779972628397,SCCOHT1,Small Cell Carcinoma of the Ovary,SCCOHT,FALSE,TRUE
COV434,ACH-000048,0.5425730151511066,0.8921299191329929,TOV112D,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000657,0.5342003365495251,0.885625469525551,A2780,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000947,0.5094053024939806,0.880312751155372,OVK18,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001374,0.3764383975159461,0.8485914772348411,PA1,Mixed Germ Cell Tumor,SCCOHT,FALSE,TRUE
COV434,ACH-001145,0.34568219890094637,0.8638176809482256,OC316,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000696,0.33996307352773064,0.8531993078593668,OVCAR8,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000962,0.3389804182023507,0.8593737027274877,OC314,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000430,0.33438076775188486,0.8501991646280801,TYKNU,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001403,0.32680052640346646,0.8309033516379033,TO14,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000704,0.31275190259136176,0.8491753800653646,OAW42,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000574,0.3089395820400999,0.8501831854859087,FUOV1,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000966,0.30714696066149716,0.8566091290774234,IGROV1,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000885,0.2934280703877155,0.8392754039815743,TOV21G,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001719,0.28880596045845985,0.8374994147629069,OCIC4P,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000936,0.2844081341244177,0.8486450931309513,EFO27,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000520,0.2832640314206868,0.8336196423924216,59M,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000256,0.28163275459883824,0.8398885892593126,COV318,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001373,0.27429431918429914,0.8379946967813591,OV17R,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000524,0.272624906057542,0.8301010106080197,KURAMOCHI,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000324,0.26914710335853637,0.839871995400149,JHOC5,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-002486,0.2640612017944698,0.8398057213939414,MESOV,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000013,0.26185390231049394,0.8384403755449384,ONCODG1,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000688,0.25783113758153053,0.8386755350123655,OV7,Mixed Ovarian Carcinoma,SCCOHT,FALSE,TRUE
COV434,ACH-000409,0.2571111407451144,0.8432633599514036,OVSAHO,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000542,0.24854238242720833,0.8353326428576673,HEYA8,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000811,0.24470266040584704,0.8397151681055208,SKOV3,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000906,0.24376854974455162,0.8356719728196551,ES2,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000237,0.23977393686966916,0.8144380951007819,JHOM1,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000001,0.23955826070887792,0.8354648574251471,NIHOVCAR3,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001370,0.23861400627482746,0.8064138426566145,OCIP5X,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000494,0.23587922578150783,0.8437813417962936,OELE,Immortalized Ovarian Cells,SCCOHT,FALSE,TRUE
COV434,ACH-001991,0.2322856599249602,0.8245128353327414,NZOV9,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000663,0.225675937747211,0.8246363983495723,OVTOKO,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000091,0.22242949785809132,0.819314476601734,OV56,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000116,0.2215789769182896,0.8303130093946883,OAW28,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001628,0.21810574854951778,0.8310800038157965,PEA1,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000278,0.21124937818224288,0.8287085424782719,COV362,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000308,0.2070491768127745,0.8215433137321158,EFO21,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000291,0.19030590881357587,0.8105246525607027,OV90,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-002524,0.18628713240737074,0.828649989534319,SNU251,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000103,0.18480617070650285,0.8250903648291373,CAOV4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000635,0.18030352487502951,0.8198124310569298,SNU119,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000527,0.17409835507051097,0.8114815652346087,OVISE,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000713,0.16519939409760273,0.8200275749130482,CAOV3,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000280,0.1604651324393335,0.8246508144170545,SNU840,"Brenner Tumor, Malignant",SCCOHT,FALSE,TRUE
COV434,ACH-000617,0.15898873961573584,0.8287081072403909,OVCAR4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000646,0.15538010478782185,0.7993519681582711,OVMANA,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000584,0.15401257137526503,0.824768922285662,JHOS4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001048,0.14550869181603604,0.8107240729859135,COV504,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001151,0.14383589077251466,0.8155989111163596,OVCAR5,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000701,0.13978801190979304,0.8156727878529084,RMUGS,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
