"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV2295","baseline","genome_full","SBS35",
"OV2295","baseline","genome_full","SBS36",-0.0308108448440243
"OV2295","baseline","genome_full","SBS37",0.0161821959432031
"OV2295","baseline","genome_full","SBS38",-0.0685456729992131
"OV2295","baseline","genome_full","SBS39",-0.564686393727101
"OV2295","baseline","genome_full","SBS40",-0.1244604188456
"OV2295","baseline","genome_full","SBS41",
"OV2295","baseline","genome_full","SBS42",
"OV2295","baseline","genome_full","SBS44",-0.0686579942385164
"OV2295","baseline","genome_full","SBS84",0.00477988076169753
"OV2295","baseline","genome_full","SBS85",-0.107639050335641
"OV2295","baseline","genome_full","SBS86",0.0735683493057383
"OV2295","baseline","genome_full","SBS87",0.138457259163203
"OV2295","baseline","genome_full","SBS88",-0.0637306467784919
"OV2295","baseline","genome_full","SBS89",-0.29471338794978
"OV2295","baseline","genome_full","SBS90",
"OV2295","baseline","genome_full","SBS91",0.0394823781227668
"OV2295","baseline","genome_full","SBS92",
"OV2295","baseline","genome_full","SBS93",
"OV2295","baseline","genome_full","SBS94",
"OV2295-R2","baseline","genome_full","SBS1",0.125338040630983
"OV2295-R2","baseline","genome_full","SBS2",-0.0395210301351273
"OV2295-R2","baseline","genome_full","SBS3",1
"OV2295-R2","baseline","genome_full","SBS4",-0.205821995031113
"OV2295-R2","baseline","genome_full","SBS5",-0.0413754006666892
"OV2295-R2","baseline","genome_full","SBS6",0.0311507872973058
"OV2295-R2","baseline","genome_full","SBS7a",0.0308332332808606
"OV2295-R2","baseline","genome_full","SBS7b",-0.0498636409331629
"OV2295-R2","baseline","genome_full","SBS7c",
"OV2295-R2","baseline","genome_full","SBS7d",0.025933906732069
"OV2295-R2","baseline","genome_full","SBS8",-0.203698270704808
"OV2295-R2","baseline","genome_full","SBS9",-0.0413754006666889
"OV2295-R2","baseline","genome_full","SBS10a",
"OV2295-R2","baseline","genome_full","SBS10b",
"OV2295-R2","baseline","genome_full","SBS10c",
"OV2295-R2","baseline","genome_full","SBS10d",
"OV2295-R2","baseline","genome_full","SBS11",0.0785893408640088
"OV2295-R2","baseline","genome_full","SBS12",-0.0889610212769163
"OV2295-R2","baseline","genome_full","SBS13",
"OV2295-R2","baseline","genome_full","SBS14",-0.0413754006666894
"OV2295-R2","baseline","genome_full","SBS15",-0.154663528668516
"OV2295-R2","baseline","genome_full","SBS16",
"OV2295-R2","baseline","genome_full","SBS17a",-0.0618068431033512
"OV2295-R2","baseline","genome_full","SBS17b",0.0534191645519648
