"cell_line","substrate","from_reference","to_reference","paired_boot_delta_median","paired_boot_delta_lo95","paired_boot_delta_hi95","n_boots"
"TOV3133D","baseline","genome_restricted","target_restricted",-0.220849335932947,-0.386614976633001,0,200
"TOV3133D","baseline","target_full","target_restricted",0,-0.195880756417602,0.253648224254519,200
"TOV3133D","rare_read_supported","genome_full","target_full",0,-0.269221198669977,0.221752796131818,200
"TOV3133D","rare_read_supported","genome_restricted","target_restricted",-0.162854253513127,-0.413018753099688,0.0142485279262849,200
"TOV3133D","rare_read_supported","target_full","target_restricted",0.00255051508584109,-0.228192757721818,0.471684170821615,200
"TOV3133G","baseline","genome_full","target_full",0,-0.174746835067054,0.127762861209459,200
"TOV3133G","baseline","genome_restricted","target_restricted",-0.197246845466624,-0.373409786084567,0,200
"TOV3133G","baseline","target_full","target_restricted",0,-0.00874749361333014,0.247572054745746,200
"TOV3133G","rare_read_supported","genome_full","target_full",0,-0.243595717322843,0.179010096544321,200
"TOV3133G","rare_read_supported","genome_restricted","target_restricted",-0.156966474180231,-0.354303931066696,0.0443820790975503,200
"TOV3133G","rare_read_supported","target_full","target_restricted",0,-0.256077403707494,0.306434000505933,200
"OV3331","baseline","genome_full","target_full",0,0,0.180070118532652,200
"OV3331","baseline","genome_restricted","target_restricted",-0.161723264237238,-0.315115419820207,0,200
"OV3331","baseline","target_full","target_restricted",0,-0.0930782360543101,0.214700255320465,200
"OV3331","rare_read_supported","genome_full","target_full",0,-0.0452710740381791,0.275474985283401,200
"OV3331","rare_read_supported","genome_restricted","target_restricted",-0.115488447982038,-0.344106211555613,0.0580219020726201,200
"OV3331","rare_read_supported","target_full","target_restricted",0.224053054937367,-0.0169532651351541,0.500739904478175,200
"OV90","baseline","genome_full","target_full",0,-0.12176620912616,0.1063563518665,200
"OV90","baseline","genome_restricted","target_restricted",-0.182942356784874,-0.327676751147475,0,200
"OV90","baseline","target_full","target_restricted",0,-0.110516002576764,0.171136365320459,200
"OV90","rare_read_supported","genome_full","target_full",0,0,0.062379861629913,200
"OV90","rare_read_supported","genome_restricted","target_restricted",-0.174008044410788,-0.295759758481429,0,200
"OV90","rare_read_supported","target_full","target_restricted",0,0,0.277477898586908,200
"TOV81D","baseline","genome_full","target_full",0,-0.247182327008486,0.0981175599146541,200
"TOV81D","baseline","genome_restricted","target_restricted",-0.192350092208022,-0.333536522467968,0,200
"TOV81D","baseline","target_full","target_restricted",0,-0.051146870743841,0.245290708556594,200
"TOV81D","rare_read_supported","genome_full","target_full",0,-0.219182517178129,0.256642013510012,200
