"cell_line","substrate","reference","signature","count","fraction"
"OV2295","baseline","genome_full","SBS24",64.534564328687,0.167658848191544
"OV2295","baseline","genome_full","SBS25",0,0
"OV2295","baseline","genome_full","SBS26",41.1103408319524,0.106803423318116
"OV2295","baseline","genome_full","SBS28",0,0
"OV2295","baseline","genome_full","SBS29",0,0
"OV2295","baseline","genome_full","SBS30",0,0
"OV2295","baseline","genome_full","SBS31",0,0
"OV2295","baseline","genome_full","SBS32",28.8479710590846,0.0749461571599879
"OV2295","baseline","genome_full","SBS33",0,0
"OV2295","baseline","genome_full","SBS34",0,0
"OV2295","baseline","genome_full","SBS35",0,0
"OV2295","baseline","genome_full","SBS36",0,0
"OV2295","baseline","genome_full","SBS37",0,0
"OV2295","baseline","genome_full","SBS38",0,0
"OV2295","baseline","genome_full","SBS39",57.1119507058345,0.148375122276235
"OV2295","baseline","genome_full","SBS40",0,0
"OV2295","baseline","genome_full","SBS41",0,0
"OV2295","baseline","genome_full","SBS42",0,0
"OV2295","baseline","genome_full","SBS44",0,0
"OV2295","baseline","genome_full","SBS84",0,0
"OV2295","baseline","genome_full","SBS85",0,0
"OV2295","baseline","genome_full","SBS86",0,0
"OV2295","baseline","genome_full","SBS87",0,0
"OV2295","baseline","genome_full","SBS88",0,0
"OV2295","baseline","genome_full","SBS89",52.550350057585,0.136524221622438
"OV2295","baseline","genome_full","SBS90",0,0
"OV2295","baseline","genome_full","SBS91",0,0
"OV2295","baseline","genome_full","SBS92",0,0
"OV2295","baseline","genome_full","SBS93",0,0
"OV2295","baseline","genome_full","SBS94",0,0
"OV2295-R2","baseline","genome_full","SBS1",56.2068928809791,0.101306904360708
"OV2295-R2","baseline","genome_full","SBS2",0,0
"OV2295-R2","baseline","genome_full","SBS3",93.6800949357328,0.168848337485099
"OV2295-R2","baseline","genome_full","SBS4",64.0159886432184,0.115381963076443
"OV2295-R2","baseline","genome_full","SBS5",0,0
"OV2295-R2","baseline","genome_full","SBS6",0,0
"OV2295-R2","baseline","genome_full","SBS7a",0,0
