"cell_line","substrate","reference","dictionary","opportunity_model","n_snv","n_reference_signatures","n_selected","sbs3_count","total_fitted","sbs3_fraction","reconstruction_cosine","nnls_without_sbs3_delta_sse_per_n_squared","nnls_with_sbs3_cosine","nnls_without_sbs3_cosine","n_boots","seed","cache_sha256","boot_fraction_lo95","boot_fraction_hi95","boot_fraction_median","boot_selected_fraction","boot_count_lo95","boot_count_hi95","patient_id","subtype","patient_representative","interpretation"
"OV2085","rare","genome_restricted","restricted","genome",375,22,5,97.3008560687055,363.206725763937,0.26789387191014,0.889558180640025,0.00023516746577248,0.89254383528281,0.884662388234427,0,64735369,"5a0bb43741ebd748f0160e3ea17622c3625efe6c6e6931d4b756055d6cb45b48",,,,,,,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","baseline","genome_restricted","restricted","genome",476,22,5,195.279164346713,461.60064756011,0.42304785614774,0.910973851936296,0.000373507273150305,0.9151205140047,0.904159822161704,200,264459337,"dc1fdf20288573e0efeb0bec7d164dda7206a7a7f990b6e46338999669671798",0.190320951730382,0.541585022040648,0.389232316775659,0.99,85.5101164921132,251.851668173773,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare","target_full","full","target",318,60,11,0,317.144618454634,0,0.918242479989056,0,0.923328378630314,0.923328378630314,0,165475239,"d42cddb2400479aea55b265dac3f54271adae20b38df1eb173cd0323ff00299a",,,,,,,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","baseline","target_full","full","target",403,60,8,0,398.90316815847,0,0.929881984037236,4.46921767367633e-09,0.937460774394487,0.937460638796757,200,183198952,"20cc0c982e00744b30d9a3ba67c76fff517f4dc24e54be32c33892205ca45ac7",0,0.246601056093257,0,0.215,0,99.1374304850473,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare_read_supported","genome_restricted","restricted","genome",223,22,5,104.259600280603,211.71644104952,0.492449239009343,0.854956305338991,0.000495162087008304,0.855564486224687,0.838723830445125,200,53061927,"c8b68ee9079ae32fb87056e5386434776b139b096ff57a4111017159c14c281e",0.204725539750038,0.688265684901774,0.47226467376681,1,43.0513470137645,144.824721513318,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","baseline","genome_full","full","genome",403,60,8,58.5775288838615,384.915947024511,0.152182650099793,0.922673293084666,8.24616664239017e-06,0.933423973872892,0.933172666281999,200,183198952,"46ba934d40d74a53e9a4de048757ef7dabc698105ccad2de46d6b3ff8c2ebf9a",0,0.417739857554782,0,0.41,0,163.997795594925,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","baseline","target_restricted","restricted","target",403,22,4,62.8130539845704,385.552462973462,0.162917008751916,0.898062850502539,8.50947704055155e-05,0.9031300713252,0.900446134102146,200,183198952,"ea2c71b792c077d7a5f975a3ac990caffcc2de947b53e2eeec364ca52b063639",0,0.436081201370421,0.167343781464203,0.815,0,165.970759677634,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare_read_supported","target_restricted","restricted","target",223,22,4,56.4439919789946,210.265840534922,0.268441092644434,0.856462833278344,0.000132317444356018,0.857245825856849,0.852787091856235,200,53061927,"1e1a8d57ebb206dfd20eda467434f07f12a4a1cc077689d8862cd80731c58ecb",0,0.539741765958255,0.232785703966834,0.765,0,114.839918405864,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare","genome_restricted","restricted","genome",318,22,5,162.51689619466,289.489436931847,0.561391454959788,0.848207388672009,0.000507988769734532,0.852727768972959,0.834159196339026,0,165475239,"0561c79f7181c3c5f7d8abf00bbe91199201cd5b5d47bc86d030b862c2e76eaa",,,,,,,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare_read_supported","target_full","full","target",223,60,9,0,225.093690935643,0,0.890142346578746,0,0.893617808967418,0.893617808967418,200,53061927,"192631cc17d42b41126bdfc65cf0945e2ddaec2e16c407595b72c5a2d2c6b221",0,0.208798061460483,0,0.11,0,48.1309308684771,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare","target_restricted","restricted","target",318,22,2,0,291.995050395041,0,0.861974845703905,7.04638236593389e-05,0.873948794984632,0.871459481641609,0,165475239,"c9fed85f0bc47c67e2851030772efc6fe105d16c99c60ee993ac221ec7f68d70",,,,,,,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","baseline","genome_restricted","restricted","genome",403,22,5,190.615921977425,382.0610689987,0.498914800393005,0.891309741609282,0.000453535006322094,0.892243933999597,0.877667094964446,200,183198952,"29ab05a093495e2656dde432bd7b975661f714137487ecd90e8dfa5f166088ee",0.200183961246103,0.651919714474836,0.443040638352728,0.995,75.5726326324374,247.666935329889,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare_read_supported","genome_full","full","genome",223,60,12,19.765830683992,216.597409556715,0.0912560806911053,0.884591531980828,4.94524270254523e-06,0.888159945142793,0.887999508121749,200,53061927,"230fb8fc2bb59e2ce4cfcdd978651918e56a41e933d1d1a9e6b84047a21dedb7",0,0.410138237362588,0,0.255,0,89.6617316361052,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295","rare","genome_full","full","genome",318,60,9,0,303.043886197755,0,0.901841084392228,0,0.907198162725139,0.907198162725139,0,165475239,"154d9320c0618cae903a9ba21f3f080935beb55749239eff6b15f12c3068d679",,,,,,,"2295","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","baseline","genome_full","full","genome",572,60,7,93.6800949357328,554.81798832636,0.168848337485099,0.945561603040567,1.4413509563787e-07,0.953032514579901,0.953027999717124,200,52460060,"99b23eb79f5175c498277fce8780e7e7a0a46dbfa9cf9ffa4e16dcb9a89be767",0,0.40172935465999,0,0.3,0,227.215570757918,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","baseline","target_restricted","restricted","target",572,22,4,0,564.902991041999,0,0.931198448011286,1.04595120095189e-05,0.933382550706815,0.933047962140334,200,52460060,"8401cac55d1bc2e7cd9b58fbfc08574aeac21eea4b79688120e0772154c925ac",0,0.294385950688352,0,0.465,0,168.064011134032,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare","target_full","full","target",475,60,10,0,476.920914365622,0,0.939097816426419,0,0.942051108666028,0.942051108666028,0,93388001,"97653689d7a9e1f400e62d42a1eb195a686abac5a250fbdc6059cea0e50a2572",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","baseline","target_full","full","target",572,60,7,0,581.734503862664,0,0.951299076029795,-1.7373532587415e-19,0.956510568591155,0.956510568591155,200,52460060,"a68e750debacd2a0ca893fe57eba97ec1cd9425604bb0f454b34a87fb795e622",0,0.115586767975255,0,0.04,0,66.2456230213382,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare_read_supported","target_full","full","target",257,60,9,0,261.091130209485,0,0.916610366609314,0,0.921032328131895,0.921032328131895,200,181466783,"b7cbe6ca3ee92f8918df11b2af83d24e73b11440111b3eb615ff2551b09c69d5",0,0.000951515834494776,0,0.025,0,0.256342535240324,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare","target_restricted","restricted","target",475,22,6,30.8124891364592,462.268377219594,0.0666549793472509,0.913207180743052,4.77011175333704e-06,0.91417935503739,0.914025205819152,0,93388001,"2b1129acd75246731e5f7afc710c7c0747a3ac1f359ccd54c01145c27ffc73c0",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare_read_supported","target_restricted","restricted","target",257,22,4,45.8940361097752,254.228841730328,0.180522539446792,0.875520471963274,0.000121687207340983,0.877597865361187,0.873725051803622,200,181466783,"172936699a24f357b3cd63ca740950e185339803c65459e10a234efd23586158",0,0.47819721357354,0.214519899247002,0.84,0,122.790595378239,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare_read_supported","genome_restricted","restricted","genome",257,22,4,97.3596605555967,251.379529484237,0.387301467050053,0.851695763815486,0.000488821769789881,0.857631098522779,0.841596917756942,200,181466783,"6670a36fa1430501ed4d4f09e3790d36df129a6de18edafc3487dba8f6b24f26",0.230216120955242,0.752638583237469,0.471639987015293,1,55.9239083480836,193.450347839663,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare_read_supported","genome_full","full","genome",257,60,8,0,256.227995617001,0,0.909012360536964,0,0.915866714410722,0.915866714410722,200,181466783,"153d952ed4752533bf623c6c8969f26b21367a673da35dfb54b7a4d73a91db64",0,0.0784334820435987,0,0.035,0,19.9141223943319,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","baseline","genome_restricted","restricted","genome",572,22,4,249.494492892121,551.291950782025,0.452563278927264,0.905251846195632,0.000280571816004728,0.910056218517042,0.900805611587446,200,52460060,"17c07ae5e1a821fdbab0deab13bf25030ab467abc58fa4f30720590e44f9936d",0.143293416575913,0.581567094706844,0.405083527992175,1,77.3878325878255,326.158063779169,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare","genome_restricted","restricted","genome",475,22,5,169.976321709156,452.442653582812,0.375685891600061,0.880389386258215,0.000272110579932063,0.883168023696033,0.874019206493477,0,93388001,"1575958c9bf0ffed8087f14e9ccce3f9fdb5920ab86d150a83f75ab7334f7e57",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2295-R2","rare","genome_full","full","genome",475,60,7,0,444.959274337202,0,0.924895092422542,0,0.937172129803354,0.937172129803354,0,93388001,"59696cb78099ca663aa16d40924d8621b8e5f94f7efc6f67c195f02d1db5ee9f",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare","target_full","full","target",340,60,8,0,342.498546273292,0,0.946301404115381,0,0.952985178287531,0.952985178287531,0,211868911,"1255b50bf24157f8d4b1675be03220881717185718dc702363ef40d236087ec2",,,,,,,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","baseline","target_full","full","target",437,60,9,0,427.717603429831,0,0.954769700054714,0,0.96258246437615,0.96258246437615,200,235695072,"3011629d4c8003dcd53fe038b285d62ae43085bffcfc5e8420a0d5f7476a27f5",0,0.0938827299929764,0,0.05,0,41.5631343531999,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare_read_supported","genome_full","full","genome",209,60,11,16.2733651399906,213.401066568492,0.0762571874717766,0.939845925851401,1.68907148346512e-05,0.94573470830351,0.945264061812479,200,216986312,"5e882e4ea0feb2de1fd4a80240ff73ab52792020eec127482c802a569805f9d3",0,0.386819918254483,0,0.43,0,80.4618474121385,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare_read_supported","target_restricted","restricted","target",209,22,5,0,214.161933919232,0,0.90936337372654,9.58003870601819e-07,0.917047601533811,0.91702007890281,200,216986312,"24226e3b0d395a3e55bf3622997171175272d3ab7c444ece93e3376025cb4628",0,0.307000898679629,0,0.435,0,67.4616995584282,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare_read_supported","genome_restricted","restricted","genome",209,22,9,45.7917674082091,210.878846765799,0.217147277266104,0.899632440221916,7.99446631743573e-05,0.902209976224092,0.899872469533829,200,216986312,"56ad068294083a6e4005df7868df824c9a770e5558e7d80620da3eef611ba904",0,0.469920426510746,0.207538044847258,0.825,0,101.204925375496,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","baseline","target_restricted","restricted","target",437,22,4,0,443.059085618833,0,0.928991549960632,0,0.934506624658354,0.934506624658354,200,235695072,"4db1b16f14f0f18c2884d516b51d34387e8c10f9246cbd1fc96e6406104b561c",0,0.153898972470994,0,0.155,0,68.8599096265414,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare_read_supported","target_full","full","target",209,60,7,0,211.94868936746,0,0.937829135212422,1.23288135498317e-06,0.948796809231512,0.948762574734578,200,216986312,"a47c19be5e61fc0a4258d4bebfd59e3475f5c3cd17f4495d759b175b105026a9",0,0.312676337409456,0,0.3,0,67.1428670413565,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare","target_restricted","restricted","target",340,22,5,0,341.406541164003,0,0.91239001744942,0,0.916435785585794,0.916435785585794,0,211868911,"18689157242661873ba2a1f9982ce52a1b4f1dcdc37ab3878cdb3e92a270a255",,,,,,,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare","genome_restricted","restricted","genome",340,22,8,63.5730763172605,331.370858080397,0.191848724071676,0.885049090276526,0.000112706496574098,0.890312318886682,0.886635205451798,0,211868911,"3f1468ae56deeaba1ca9c2a8216371245005218dff60f2248b5bc808647929e6",,,,,,,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","baseline","genome_full","full","genome",437,60,10,0,430.782372554737,0,0.949294479530835,0,0.95295088091626,0.95295088091626,200,235695072,"7a83db49be993c3ec4613a168c8708f65dfbe6de103b4ba3c2d9ae33cfc3bcd2",0,0.242077868633286,0,0.15,0,104.305337486584,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","rare","genome_full","full","genome",340,60,8,0,330.178081706277,0,0.937162465877074,-4.91725076650588e-19,0.94573533172438,0.94573533172438,0,211868911,"673b59b092e1c1a23d4f087bfa3a8be8616c6ebabc373544ae2f73a1723a8014",,,,,,,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R","baseline","genome_restricted","restricted","genome",437,22,5,113.637613659216,422.516563454481,0.268954222125917,0.882406212865522,8.6194383502452e-05,0.896882468336424,0.894156140101082,200,235695072,"98a0e4dd57836de665d7271d05fd0eb08b318bc39fc868f268dda4dac01bf6e5",0,0.440069801832404,0.242272080845311,0.9,0,186.785710188612,"3133","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","baseline","genome_full","full","genome",395,60,7,53.8404696953526,391.177156712439,0.137637049534903,0.93947455901866,1.30065580319918e-05,0.950072769050208,0.949695976096485,200,1670982,"ae21ba437b1f0e227b983d28b879b33f68bb6ca8936f51e0dfcf0523021c2cd2",0,0.326059910276724,0,0.42,0,128.699381672513,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","baseline","genome_restricted","restricted","genome",395,22,6,91.066460786901,381.531102777241,0.23868685966625,0.913437917248853,6.15117688161978e-05,0.918304161581928,0.91645906409752,200,1670982,"db2fdcb7c03833885b09d0f90477e02a77fa4493649cb4e6b0646109900e6dd4",0,0.400503917496778,0.19637570366969,0.885,0,153.742366563686,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare","target_restricted","restricted","target",296,22,5,0,293.443335831933,0,0.909615229162331,1.81081678520727e-06,0.916465085781893,0.916408803847749,0,103356932,"eed19851ced9e3087f483f100f8b1b2f5bbfe47d3a7f426342d444b70c77f559",,,,,,,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare","target_full","full","target",296,60,10,0,294.852634103095,0,0.9340134004549,1.06119910394893e-06,0.938699824304797,0.938667622910396,0,103356932,"759a8138794862089a26f547f6b5627020be63bf8c16663f3622e6b30de24816",,,,,,,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare_read_supported","genome_full","full","genome",214,60,7,38.933042357405,214.519921088942,0.181489169676055,0.910612839926849,7.07772354180485e-05,0.918172744277052,0.916118015458779,200,232348555,"d3027cbe6375a70c3af60b284b91efd2d6104ada2fa79f021b3b43f5c776924f",0,0.477640558839651,0.240596270519423,0.72,0,105.510867213863,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","baseline","target_restricted","restricted","target",395,22,4,0,397.239503406919,0,0.933788523282972,0,0.939122572154354,0.939122572154354,200,1670982,"dd609783d28322e3ef46d4b47df20e2548a023d61bfe367281aa3468f824b685",0,0.208918029781024,0,0.23,0,80.790391798845,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
