cell_line,subtype,n_segments,total_assessed_mb,fga_0.2,fga_0.3,frac_gain,frac_loss,n_segments_auto,total_assessed_autosome_mb,fga_auto_0.2,fga_auto_0.3,frac_gain_auto,frac_loss_auto,chrX_median_log2c,chrX_frac_altered,patient_id,n_lines_in_family,patient_representative,high_fga_flag
TOV1369,HGS,290,2889.790781,0.638678000198105,0.5628785816242107,0.25586765549308466,0.38281034470502034,285,2734.113093,0.6539146367344505,0.5743699805324768,0.2704365060439729,0.38347813069047765,0.10587156537877428,0.29740577853391553,1369,2,FALSE,FALSE
OV1369-R2,HGS,238,2896.615416,0.8544489031332284,0.5879777179229098,0.5068215341570218,0.34762736897620655,232,2741.8906699999998,0.6414685141329869,0.5700009176514685,0.491745543596018,0.14972297053696892,0.514654707012271,1,1369,2,TRUE,FALSE
OV3133-R,HGS,440,2881.788141,0.6154991179832189,0.5135753617496756,0.3185824484937389,0.29691666948948,426,2726.222869,0.627589186656478,0.5371431377278202,0.3214817199891958,0.3061074666672822,0.13336612414999677,0.31515618087306785,3133,4,TRUE,FALSE
TOV2835EP,HGS,191,2896.693315,0.6056994752998213,0.5499479008532873,0.194141582088748,0.41155789321107333,182,2742.563681,0.6223170768372762,0.542663731497143,0.19495610902462032,0.42736096781265587,-0.7986263425234931,0.7408017396576703,TOV2835EP,1,TRUE,FALSE
TOV3133D,HGS,396,2875.753714,0.601268461406219,0.5589007797070344,0.23468404742534915,0.36658441398086983,378,2720.517542,0.6196691280147607,0.5785195106086178,0.23445859773103422,0.3852105302837264,0.09270899751008671,0.3118234131668745,3133,4,FALSE,FALSE
TOV2295-R,HGS,156,2906.235807,0.5467577383681997,0.4150197461936371,0.18123877137957237,0.3655189669886274,154,2750.54488,0.5747033569581311,0.424828128236177,0.19134603177243922,0.38335732518569193,-0.2138180167979284,0.6840052728313449,2295,3,FALSE,FALSE
TOV3133G,HGS,436,2871.909838,0.571543494604652,0.49714093322451997,0.35509959661902174,0.2164438979856303,420,2718.493872,0.5645374119864854,0.5063222526182689,0.3495441199214151,0.21499329206507037,0.413315581953275,0.6804321005285721,3133,4,FALSE,FALSE
TOV2881EP,HGS,181,2901.952828,0.5381660573291717,0.42311197761482017,0.17581903471244156,0.36234702261673013,176,2746.464517,0.5581400962989393,0.43868210950565867,0.22328649003259632,0.33485360626634303,-0.23112872868750037,0.31510340349635674,TOV2881EP,1,TRUE,FALSE
OV3331,HGS,205,2903.46025,0.52185728976313694,0.49834291893612115,0.40784538861863184,0.11401190114450507,185,2749.667289,0.495204471627258,0.48579046793904673,0.3918512629911131,0.10335320863614493,0.5901180403097255,0.9983835346014308,OV3331,1,TRUE,FALSE
OV2295,HGS,192,2905.568838,0.42505583101246075,0.36216292391280114,0.1448857481861526,0.2801700828263082,190,2749.877911,0.3925039892434701,0.38266764564006855,0.15308880198499838,0.23941518725847172,-0.2425139091282675,1,2295,3,TRUE,FALSE
OV90,HGS,171,2894.642599,0.30839218296185933,0.27015532151366645,0.1613039489439228,0.14708823401793653,169,2738.951672,0.2688576018072947,0.23518785620982655,0.11362973585172481,0.1552278659555699,0.6460663427283497,1,OV90,1,TRUE,FALSE
TOV81D,LGS,92,2914.204678,0.07316064125815668,0.059506407463120546,0.06353701076585809,0.009623630492298592,88,2758.541413,0.020859508481122085,0.006434772346120294,0.01069282080051194,0.010166687680610144,0.6835667477568937,1,TOV81D,1,TRUE,FALSE
TOV2414,MC,107,2912.659617,0.35638759947829496,0.28302056587342045,0.08763482059840019,0.2687527788798948,105,2756.96869,0.32112750870594764,0.2901653718091372,0.09258371483355511,0.22854379387239251,-0.38656776723674813,1,TOV2414,1,TRUE,FALSE
