cell_line,gene_id,symbol,primary_assembly,tpm_restored,counts_restored
VOA4841,ENSG00000123600,METTL8,TRUE,3.36801000258021,87.1919000854797
VOA4841,ENSG00000115355,CCDC88A,TRUE,0,0
VOA4841,ENSG00000107625,DDX50,TRUE,0.0230174,2.57937
VOA4841,ENSG00000167962,ZNF598,TRUE,47.4381,7289.05
VOA4841,ENSG00000005448,WDR54,TRUE,0.371829,6.94487
VOA4841,ENSG00000233822,HIST1H2BN,TRUE,0,0
VOA4841,ENSG00000027075,PRKCH,TRUE,0,0
VOA4841,ENSG00000178522,AMBN,TRUE,0,0
VOA4841,ENSG00000166923,GREM1,TRUE,0.102214,71.1797
VOA4841,ENSG00000230453,ANKRD18B,TRUE,1.27615,21.4037
VOA4841,ENSG00000212807,OR2A42,TRUE,0,0
VOA4841,ENSG00000106638,TBL2,TRUE,1.51618,144.638
VOA4841,ENSG00000100242,SUN2,TRUE,0,0
VOA4841,ENSG00000106571,GLI3,TRUE,0,0
VOA4841,ENSG00000102362,SYTL4,TRUE,0.331767,1
VOA4841,ENSG00000214643,DEFB133,TRUE,0,0
VOA4841,ENSG00000163092,XIRP2,TRUE,0,0
VOA4841,ENSG00000105472,CLEC11A,TRUE,0,0
VOA4841,ENSG00000100341,PNPLA5,TRUE,0.124835,12.1017
VOA4841,ENSG00000185219,ZNF445,TRUE,0,0
VOA4841,ENSG00000196266,OR10J3,TRUE,0,0
VOA4841,ENSG00000170683,OR10A3,TRUE,0.0306581,1.28965
VOA4841,ENSG00000205497,OR51A4,TRUE,0,0
VOA4841,ENSG00000074054,CLASP1,TRUE,0.647608,240.159
VOA4841,ENSG00000171100,MTM1,TRUE,0,0
VOA4841,ENSG00000174652,ZNF266,TRUE,4.35001,89.7778
VOA4841,ENSG00000172348,RCAN2,TRUE,0,0
VOA4841,ENSG00000171456,ASXL1,TRUE,0,0
VOA4841,ENSG00000102710,SUPT20H,TRUE,0,0
VOA4841,ENSG00000080618,CPB2,TRUE,0,0
VOA4841,ENSG00000198216,CACNA1E,TRUE,0,0
VOA4841,ENSG00000172457,OR9G4,TRUE,0,0
VOA4841,ENSG00000121807,CCR2,TRUE,0,0
VOA4841,ENSG00000125337,KIF25,TRUE,0,0
VOA4841,ENSG00000111961,SASH1,TRUE,0.0555228,13.1016
VOA4841,ENSG00000188340,OR6N2,TRUE,0,0
VOA4841,ENSG00000197403,OR6N1,TRUE,0,0
VOA4841,ENSG00000160097,FNDC5,TRUE,0,0
VOA4841,ENSG00000135541,AHI1,TRUE,0,0
VOA4841,ENSG00000124614,RPS10,TRUE,1185.48,26007.7
VOA4841,ENSG00000167118,URM1,TRUE,0.804714,107.049
VOA4841,ENSG00000157601,MX1,TRUE,0,0
VOA4841,ENSG00000130950,NUTM2F,TRUE,0.0481551,5.41031
VOA4841,ENSG00000166888,STAT6,TRUE,1.89293,41.528
VOA4841,ENSG00000149090,PAMR1,TRUE,0,0
VOA4841,ENSG00000258947,TUBB3,TRUE,0,0
VOA4841,ENSG00000139880,CDH24,TRUE,0,0
VOA4841,ENSG00000055130,CUL1,TRUE,0,0
VOA4841,ENSG00000170396,ZNF804A,TRUE,0,0
VOA4841,ENSG00000138670,RASGEF1B,TRUE,0,0
VOA4841,ENSG00000174238,PITPNA,TRUE,0,0
VOA4841,ENSG00000067992,PDK3,TRUE,0.768279,64.2353
VOA4841,ENSG00000087053,MTMR2,TRUE,2.1533609,33.44515
VOA4841,ENSG00000124782,RREB1,TRUE,1.17145,190.862
VOA4841,ENSG00000092199,HNRNPC,TRUE,6.82577,464.525
VOA4841,ENSG00000110619,CARS,TRUE,0,0
VOA4841,ENSG00000243716,NPIPB5,TRUE,0.498367,83.5335
VOA4841,ENSG00000099364,FBXL19,TRUE,0,0
VOA4841,ENSG00000197177,ADGRA1,TRUE,0,0
VOA4841,ENSG00000127054,INTS11,TRUE,0,0
VOA4841,ENSG00000184166,OR1D2,TRUE,0,0
VOA4841,ENSG00000091482,SMPX,TRUE,0,0
VOA4841,ENSG00000106772,PRUNE2,TRUE,0,0
VOA4841,ENSG00000215029,TCP11X2,TRUE,0.00443239,0.333333
VOA4841,ENSG00000107929,LARP4B,TRUE,1.24395,502.107
VOA4841,ENSG00000196358,NTNG2,TRUE,0,0
VOA4841,ENSG00000132297,HHLA1,TRUE,0,0
VOA4841,ENSG00000140853,NLRC5,TRUE,1.43934e-08,4.54293e-06
VOA4841,ENSG00000105197,TIMM50,TRUE,0,0
VOA4841,ENSG00000130234,ACE2,TRUE,0,0
VOA4841,ENSG00000137869,CYP19A1,TRUE,0,0
VOA4841,ENSG00000136243,NUPL2,TRUE,1.70618,7.29352
VOA4841,ENSG00000181649,PHLDA2,TRUE,12.9143,365.455
VOA4841,ENSG00000166833,NAV2,TRUE,0.303398,159.3784
VOA4841,ENSG00000140285,FGF7,TRUE,0,0
VOA4841,ENSG00000185507,IRF7,TRUE,0,0
VOA4841,ENSG00000091656,ZFHX4,TRUE,1.99416,1332.14
VOA4841,ENSG00000030304,MUSK,TRUE,0.0373362,4
VOA4841,ENSG00000145703,IQGAP2,TRUE,0,0
VOA4841,ENSG00000138018,SELENOI,TRUE,0.0925615,35.4836
VOA4841,ENSG00000100077,GRK3,TRUE,0.612295,79.3517
