"model","profile","center","autosomal_span_bp","fga"
"OV1369-R2","Archived",-0.2805,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2804,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2803,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2802,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2801,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.28,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2799,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2798,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2797,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2796,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2795,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2794,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2793,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2792,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2791,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.279,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2789,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2788,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2787,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2786,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2785,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2784,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2783,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2782,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2781,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.278,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2779,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2778,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2777,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2776,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2775,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2774,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2773,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2772,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2771,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.277,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2769,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2768,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2767,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2766,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2765,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2764,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2763,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2762,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2761,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.276,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2759,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2758,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2757,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2756,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2755,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2754,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2753,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2752,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2751,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.275,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2749,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2748,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2747,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2746,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2745,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2744,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2743,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2742,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2741,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.274,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2739,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2738,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2737,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2736,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2735,2741890670,0.575301430235364
"OV1369-R2","Archived",-0.2734,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2733,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2732,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2731,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.273,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2729,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2728,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2727,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2726,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2725,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2724,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2723,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2722,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2721,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.272,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2719,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2718,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2717,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2716,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2715,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2714,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2713,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2712,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2711,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.271,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2709,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2708,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2707,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2706,2741890670,0.57722373882982
