cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag
OV866-2,HGS,High-grade serous carcinoma,consensus,CHUM,OV866-2,1,TRUE,TRUE,TRUE,FALSE,FALSE,OV866-2p67,p67,,1,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93,46.1,42.9,19121,7738,8.2,,,CVCL_9T22,TRUE,
TOV1369,HGS,High-grade serous carcinoma,consensus,CHUM,1369,2,FALSE,TRUE,TRUE,TRUE,TRUE,TOV1369p65,p65,P65,2,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.1,66.1,61.5,19808,7758,7.9,321,0.674,CVCL_9T17,TRUE,
TOV2295-R,HGS,High-grade serous carcinoma,consensus,CHUM,2295,3,FALSE,FALSE,FALSE,TRUE,TRUE,,,P57,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,190,0.568,CVCL_9T18,TRUE,
TOV2835EP,HGS,High-grade serous carcinoma,consensus,CHUM,TOV2835EP,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,P64,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,252,0.612,CVCL_A1SJ,TRUE,
TOV2881EP,HGS,High-grade serous carcinoma,consensus,CHUM,TOV2881EP,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,P64,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,240,0.569,CVCL_A1SK,TRUE,
TOV2929D,HGS,High-grade serous carcinoma,consensus,CHUM,TOV2929D,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,P57,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,413,0.768,CVCL_A1SL,TRUE,
TOV3041G,HGS,High-grade serous carcinoma,consensus,CHUM,TOV3041G,1,TRUE,TRUE,TRUE,FALSE,FALSE,TOV3041Gp67,p67,,3,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.8,86.3,80.1,20485,7562,10.3,,,CVCL_9T24,TRUE,
TOV3121D,HGS,High-grade serous carcinoma,consensus,CHUM,3121,2,TRUE,FALSE,FALSE,TRUE,TRUE,,,P68,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,158,0.834,,FALSE,
TOV3121EP,HGS,High-grade serous carcinoma,consensus,CHUM,3121,2,FALSE,FALSE,FALSE,TRUE,TRUE,,,P68,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,206,0.667,CVCL_A1SN,TRUE,
TOV3133D,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,FALSE,FALSE,FALSE,TRUE,TRUE,,,P66,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,189,0.605,CVCL_9T19,TRUE,
TOV3133G,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,FALSE,TRUE,TRUE,TRUE,TRUE,TOV3133Gp61,p61,P65,4,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.3,64.3,57.5,20346,7694,8.7,191,0.58,CVCL_4064,TRUE,
TOV3291G,HGS,High-grade serous carcinoma,consensus,CHUM,3291,2,TRUE,TRUE,TRUE,FALSE,FALSE,TOV3291Gp62,p62,,2,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.4,45.1,41.6,19962,7758,7.9,,,CVCL_9T25,TRUE,
OV3331,HGS,High-grade serous carcinoma,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",CHUM,OV3331,1,TRUE,TRUE,TRUE,TRUE,TRUE,OV3331p71,p71,P54,4,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93,59.5,55.3,20551,7694,8.7,155,0.495,CVCL_A1SQ,TRUE,
OV90,HGS,High-grade serous carcinoma,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",CHUM,OV90,1,TRUE,TRUE,TRUE,TRUE,TRUE,OV90p70,p70,P63,5,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.3,48.8,44.5,20284,7653,9.2,240,0.28,CVCL_3768,TRUE,
TOV81D,LGS,Low-grade serous carcinoma,consensus,CHUM,TOV81D,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,P23,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,,,264,0.023,CVCL_A453,TRUE,
